molecule_chembl_id,n_indications
CHEMBL103667,2
CHEMBL1068,12
CHEMBL1075,2
CHEMBL1077896,29
CHEMBL1079742,45
CHEMBL108,18
CHEMBL1087,4
CHEMBL1088750,5
CHEMBL1088751,5
CHEMBL1088752,11
CHEMBL1090090,1
CHEMBL1093,4
CHEMBL109480,37
CHEMBL1095,2
CHEMBL1096882,76
CHEMBL1097999,2
CHEMBL11662,1
CHEMBL1173655,25
CHEMBL1179047,3
CHEMBL119385,5
CHEMBL1194,8
CHEMBL1195136,4
CHEMBL1196,1
CHEMBL1200,1
CHEMBL1200395,1
CHEMBL1200409,20
CHEMBL1200430,2
CHEMBL1200437,2
CHEMBL1200440,1
CHEMBL1200485,56
CHEMBL1200598,1
CHEMBL1200606,3
CHEMBL1200654,1
CHEMBL1200675,3
CHEMBL1200826,39
CHEMBL1200841,1
CHEMBL1200980,5
CHEMBL1201020,3
CHEMBL1201023,1
CHEMBL1201063,3
CHEMBL1201179,19
CHEMBL1201335,4
CHEMBL1201336,2
CHEMBL1201466,2
CHEMBL1201467,2
CHEMBL1201468,5
CHEMBL1201477,1
CHEMBL1201505,3
CHEMBL1201550,20
CHEMBL1201577,54
CHEMBL1201607,13
CHEMBL1201649,38
CHEMBL1201729,1
CHEMBL1201754,4
CHEMBL1201827,27
CHEMBL1214827,5
CHEMBL1230065,3
CHEMBL1230314,3
CHEMBL1230607,1
CHEMBL1231160,15
CHEMBL1237023,39
CHEMBL1242,3
CHEMBL1255654,1
CHEMBL1257015,1
CHEMBL1294,15
CHEMBL1336,70
CHEMBL135,50
CHEMBL1358,28
CHEMBL1405,2
CHEMBL14762,5
CHEMBL1511,10
CHEMBL16,18
CHEMBL1611,2
CHEMBL1614,1
CHEMBL1614725,1
CHEMBL1637,51
CHEMBL1645462,2
CHEMBL1655,9
CHEMBL1743000,1
CHEMBL1743043,7
CHEMBL1743047,5
CHEMBL1743052,2
CHEMBL1743087,12
CHEMBL1750,19
CHEMBL1751,38
CHEMBL1762,1
CHEMBL180022,13
CHEMBL184412,4
CHEMBL1889140,7
CHEMBL193482,5
CHEMBL1938400,2
CHEMBL1944698,7
CHEMBL1946170,32
CHEMBL1947204,1
CHEMBL197672,8
CHEMBL2029988,1
CHEMBL2087361,12
CHEMBL2093999,2
CHEMBL2095222,8
CHEMBL2103738,1
CHEMBL2103772,2
CHEMBL2103837,4
CHEMBL2103838,5
CHEMBL2103840,12
CHEMBL2103842,7
CHEMBL2103879,25
CHEMBL2103884,4
CHEMBL2104967,2
CHEMBL2105395,5
CHEMBL2105675,5
CHEMBL2105712,2
CHEMBL2105719,2
CHEMBL2106615,4
CHEMBL2107341,3
CHEMBL2107762,2
CHEMBL2107771,2
CHEMBL2107779,1
CHEMBL2107861,4
CHEMBL2107863,3
CHEMBL2107872,1
CHEMBL2108038,3
CHEMBL2108131,2
CHEMBL2108359,26
CHEMBL2108481,1
CHEMBL2108583,7
CHEMBL2108680,9
CHEMBL2108738,116
CHEMBL2108893,3
CHEMBL2109072,11
CHEMBL2109307,1
CHEMBL2109367,4
CHEMBL2109388,4
CHEMBL2109389,4
CHEMBL2109390,1
CHEMBL2109391,1
CHEMBL2109503,8
CHEMBL2110732,13
CHEMBL2141296,19
CHEMBL21536,1
CHEMBL220492,47
CHEMBL226267,3
CHEMBL2308782,1
CHEMBL2336050,1
CHEMBL2355051,2
CHEMBL2364626,5
CHEMBL2402737,11
CHEMBL2403108,11
CHEMBL2408045,4
CHEMBL24828,43
CHEMBL252164,13
CHEMBL254219,2
CHEMBL256997,6
CHEMBL258940,1
CHEMBL281398,1
CHEMBL296468,4
CHEMBL3109738,1
CHEMBL3125702,16
CHEMBL3137301,11
CHEMBL3137343,125
CHEMBL3137345,3
CHEMBL3137351,2
CHEMBL315838,1
CHEMBL315985,1
CHEMBL3185958,12
CHEMBL3187812,1
CHEMBL325041,92
CHEMBL328190,3
CHEMBL3301572,1
CHEMBL3348923,12
CHEMBL3353410,10
CHEMBL3402567,2
CHEMBL3544983,7
CHEMBL3545017,1
CHEMBL3545027,5
CHEMBL3545057,1
CHEMBL3545063,2
CHEMBL3545083,1
CHEMBL3545154,8
CHEMBL3545157,4
CHEMBL3545165,1
CHEMBL3545210,1
CHEMBL3545216,1
CHEMBL3545235,1
CHEMBL3545308,2
CHEMBL3545311,5
CHEMBL3545396,3
CHEMBL3545398,1
CHEMBL3545420,1
CHEMBL3545432,14
CHEMBL3577124,4
CHEMBL3581693,1
CHEMBL359164,1
CHEMBL3623290,1
CHEMBL362558,3
CHEMBL363295,2
CHEMBL363648,1
CHEMBL3647420,7
CHEMBL3653256,7
CHEMBL3663929,2
CHEMBL3678076,1
CHEMBL3678958,2
CHEMBL3707183,2
CHEMBL3707223,1
CHEMBL3707243,5
CHEMBL3707277,4
CHEMBL3707294,2
CHEMBL370805,4
CHEMBL377559,9
CHEMBL3786098,1
CHEMBL3786343,2
CHEMBL3786673,2
CHEMBL3787344,4
CHEMBL3833330,1
CHEMBL3833342,1
CHEMBL383824,1
CHEMBL384304,1
CHEMBL3940890,3
CHEMBL3977543,2
CHEMBL3989794,1
CHEMBL3989921,3
CHEMBL3989927,2
CHEMBL3989949,4
CHEMBL3989970,1
CHEMBL3989978,1
CHEMBL3989987,4
CHEMBL3989988,1
CHEMBL3990042,2
CHEMBL3991932,1
CHEMBL4091801,7
CHEMBL411,2
CHEMBL428690,19
CHEMBL4297240,2
CHEMBL4297258,4
CHEMBL4297300,9
CHEMBL4297363,1
CHEMBL4297436,6
CHEMBL4297509,4
CHEMBL4297528,2
CHEMBL4297536,4
CHEMBL4297537,3
CHEMBL4297555,5
CHEMBL4297571,23
CHEMBL4297573,7
CHEMBL4297581,5
CHEMBL4297599,3
CHEMBL4297661,2
CHEMBL4297715,47
CHEMBL4297717,3
CHEMBL4297723,33
CHEMBL4297744,5
CHEMBL4297770,2
CHEMBL4297774,7
CHEMBL4297777,4
CHEMBL4297789,5
CHEMBL4297829,42
CHEMBL4297831,18
CHEMBL4297840,49
CHEMBL4297842,1
CHEMBL4297843,43
CHEMBL4297856,17
CHEMBL4297858,10
CHEMBL4297860,3
CHEMBL4297865,3
CHEMBL4297866,3
CHEMBL4297877,17
CHEMBL4298001,6
CHEMBL4298021,2
CHEMBL4298037,19
CHEMBL4298077,1
CHEMBL4298088,1
CHEMBL4298093,1
CHEMBL4298124,25
CHEMBL4298191,5
CHEMBL43452,33
CHEMBL4442620,3
CHEMBL445813,5
CHEMBL4466233,2
CHEMBL4475463,2
CHEMBL451887,29
CHEMBL451930,7
CHEMBL4535757,7
CHEMBL4558324,4
CHEMBL4583691,3
CHEMBL4594273,3
CHEMBL4594334,2
CHEMBL4594335,3
CHEMBL4594350,6
CHEMBL4594355,6
