drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA
CHEMBL2108785,ZOLIMOMAB ARITOX,Antibody drug conjugate,PHASE_2,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome inhibitor; T-cell surface glycoprotein CD5 binding agent,79,TRUE,FALSE,0,0,1,0,1
CHEMBL3137343,PEMBROLIZUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,125,1,0,0,1
CHEMBL1743000,CITATUZUMAB BOGATOX,Antibody drug conjugate,PHASE_1,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome inhibitor; Epithelial cell adhesion molecule binding agent,79,TRUE,FALSE,1,0.008,1,0,0.9843769686279452
CHEMBL4297789,MT-3724,Unknown,PHASE_2,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome inhibitor; B-lymphocyte antigen CD20 binding agent,79,TRUE,FALSE,5,0.04,1,0,0.9287833827893175
CHEMBL4297744,ELX-02,Unknown,PHASE_2,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome modulator,78,TRUE,FALSE,5,0.04,0.9871794871794872,0,0.9052968652858019
CHEMBL256997,ATALUREN,Small molecule,APPROVAL,55,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL35;RPL35A;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPS11;RPS13;RPS14;RPS15A;RPS16;RPS18;RPS2;RPS20;RPS23;RPS27;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9,80S Ribosome modulator,78,TRUE,FALSE,6,0.048,0.9871794871794872,0,0.8932776237409423
CHEMBL2108738,NIVOLUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,116,0.928,0,0,0.8656716417910448
CHEMBL79,LIDOCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,111,0.888,0.11538461538461539,0,0.6654908088620943
CHEMBL325041,BORTEZOMIB,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,TRUE,FALSE,92,0.736,0.47435897435897434,0,0.46354890048233177
CHEMBL468,THALIDOMIDE,Small molecule,APPROVAL,2,CUL4A;DDB1,CRL4(CRBN) E3 ubiquitin ligase inhibitor,4,TRUE,FALSE,82,0.656,0.038461538461538464,0,0.45116683388642975
