queried_protein,queried_target_chembl_id,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,action_type.action_type,action_type.description,action_type.parent_type,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,standard_value_numeric,pchembl_value_numeric,has_numeric_value,has_molecule_id,is_nanomolar,is_exact_or_upper_bound,has_validity_warning,is_potential_duplicate,evidence_class,is_quantitative_concentration,is_inhibitory_measurement,is_binding_measurement,is_functional_measurement,evidence_tier,potency_band
RPL18A,CHEMBL6067541,,26221698,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,5.5,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,,Kd,nM,,3154.06,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,Kd(app),nM,UO_0000065,,3154.061,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,10.93,0.2,-0.25,5.64,3154.06,5.5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Lower apparent potency (>1 to 10 uM)
RPL18A,CHEMBL6067541,,26221699,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,5.5,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,,ED50,nM,,3154.06,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,ED50,nM,UO_0000065,,3154.061,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,3154.06,5.5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Lower apparent potency (>1 to 10 uM)
RPL18A,CHEMBL6067541,,26221700,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,7.01,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,,Kd,nM,,98.14,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,Kd(app),nM,UO_0000065,,98.14,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,13.92,0.26,1.26,7.18,98.14,7.01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,High apparent potency (>10 to 100 nM)
RPL18A,CHEMBL6067541,,26221701,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,7.01,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,,ED50,nM,,98.14,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,ED50,nM,UO_0000065,,98.14,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,98.14,7.01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,High apparent potency (>10 to 100 nM)
RPS3,CHEMBL6066939,,26221906,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,7.39,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,,Kd,nM,,40.59,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,,,Kd(app),nM,UO_0000065,,40.588,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,14.68,0.27,1.64,7.57,40.59,7.39,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,High apparent potency (>10 to 100 nM)
RPS3,CHEMBL6066939,,26221907,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,7.39,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,,ED50,nM,,40.59,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,,,ED50,nM,UO_0000065,,40.588,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,40.59,7.39,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,High apparent potency (>10 to 100 nM)
RPS3,CHEMBL6066939,,26221908,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,8.41,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,,Kd,nM,,3.858,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,,,Kd(app),nM,UO_0000065,,3.858,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,16.71,0.31,2.66,8.62,3.858,8.41,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Very high apparent potency (<=10 nM)
RPS3,CHEMBL6066939,,26221909,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,8.41,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,,ED50,nM,,3.858,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,,,ED50,nM,UO_0000065,,3.858,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,3.858,8.41,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Very high apparent potency (<=10 nM)
RPS3,CHEMBL6066939,,26298253,,CHEMBL5697120,Inhibition of RPS3 (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,,,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,CHEMBL5696440,Nature,2011,,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,,0,,4139758,=,72,0,=,,FC,,,0.414,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,,,FC,,,,0.414,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,,,,,0.414,,TRUE,TRUE,,TRUE,FALSE,FALSE,Contextual activity,FALSE,FALSE,FALSE,FALSE,Contextual record,Not concentration-ranked
RPS3,CHEMBL6066939,,26298953,,CHEMBL5697820,Inhibition of RPS3 (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,,,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,CHEMBL5696440,Nature,2011,,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,,0,,4139758,=,72,0,=,,FC,,,0.246,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,,,FC,,,,0.246,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,,,,,0.246,,TRUE,TRUE,,TRUE,FALSE,FALSE,Contextual activity,FALSE,FALSE,FALSE,FALSE,Contextual record,Not concentration-ranked
