queried_protein,queried_target_chembl_id,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,action_type.action_type,action_type.description,action_type.parent_type,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,standard_value_numeric,pchembl_value_numeric,has_numeric_value,has_molecule_id,is_nanomolar,is_exact_or_upper_bound,has_validity_warning,is_potential_duplicate,evidence_class,is_quantitative_concentration,is_inhibitory_measurement,is_binding_measurement,is_functional_measurement,evidence_tier,potency_band
EEF1A1,CHEMBL1795120,,26302106,,CHEMBL5700973,Inhibition of EEF1A1 (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,CHEMBL5696440,Nature,2011,,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,,0,http://www.openphacts.org/units/Nanomolar,4139758,>=,72,1,>=,,IC50,nM,,10000,CHEMBL1795120,Homo sapiens,Elongation factor 1-alpha 1,9606,,,IC50,uM,UO_0000065,,10,,,,,,,,10000,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Inhibitory potency,TRUE,TRUE,FALSE,FALSE,Quantitative record requiring review,Lower apparent potency (>1 to 10 uM)
EEF1A1,CHEMBL1795120,,6278020,,CHEMBL1805291,Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method,B,,,BAO_0000034,BAO_0000219,cell-based format,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,,,CHEMBL1799911,J Med Chem,2011,,CHEMBL1802814,,CHEMBL1802814,8.43,0,http://www.openphacts.org/units/Nanomolar,1442342,=,1,1,=,,Kd,nM,,3.74,CHEMBL1795120,Homo sapiens,Elongation factor 1-alpha 1,9606,,,Kd,nM,UO_0000065,,3.74,,,,12.97,0.24,1.1,5.96,3.74,8.43,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Very high apparent potency (<=10 nM)
EEF1A1,CHEMBL1795120,,6278021,,CHEMBL1805291,Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method,B,,,BAO_0000034,BAO_0000219,cell-based format,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,,,CHEMBL1799911,J Med Chem,2011,,CHEMBL1802815,,CHEMBL1802815,8.09,0,http://www.openphacts.org/units/Nanomolar,1442343,=,1,1,=,,Kd,nM,,8.15,CHEMBL1795120,Homo sapiens,Elongation factor 1-alpha 1,9606,,,Kd,nM,UO_0000065,,8.15,,,,13.18,0.24,2.34,6.12,8.15,8.09,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Very high apparent potency (<=10 nM)
EEF1A1,CHEMBL1795120,,6278022,,CHEMBL1805291,Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method,B,,,BAO_0000034,BAO_0000219,cell-based format,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,,,CHEMBL1799911,J Med Chem,2011,,CHEMBL1802973,,CHEMBL1802973,7.24,0,http://www.openphacts.org/units/Nanomolar,1442522,=,1,1,=,,Kd,nM,,57.2,CHEMBL1795120,Homo sapiens,Elongation factor 1-alpha 1,9606,,,Kd,nM,UO_0000065,,57.2,,,,13.2,0.25,1.86,4.6,57.2,7.24,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,High apparent potency (>10 to 100 nM)
EEF1B2,CHEMBL4295731,,26217580,,CHEMBL5650977,Binding affinity to human EEF1B2 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,6.18,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,,ED50,nM,,661.51,CHEMBL4295731,Homo sapiens,Elongation factor 1-beta,9606,,,ED50,nM,UO_0000065,,661.506,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,661.51,6.18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Moderate apparent potency (>100 to 1000 nM)
EEF1B2,CHEMBL4295731,,26217579,,CHEMBL5650977,Binding affinity to human EEF1B2 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,6.18,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,,Kd,nM,,661.51,CHEMBL4295731,Homo sapiens,Elongation factor 1-beta,9606,,,Kd(app),nM,UO_0000065,,661.506,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,12.27,0.23,0.43,6.33,661.51,6.18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Moderate apparent potency (>100 to 1000 nM)
EEF1G,CHEMBL4295735,,26218670,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,9.31,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,,ED50,nM,,0.491,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,,,ED50,nM,UO_0000065,,0.491,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,0.491,9.31,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Very high apparent potency (<=10 nM)
EEF1G,CHEMBL4295735,,26218672,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,7.94,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,,ED50,nM,,11.42,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,,,ED50,nM,UO_0000065,,11.424,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,11.42,7.94,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,High apparent potency (>10 to 100 nM)
EEF1G,CHEMBL4295735,,26302219,,CHEMBL5701086,Inhibition of EEF1G (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,CHEMBL5696440,Nature,2011,,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,5.37,0,http://www.openphacts.org/units/Nanomolar,4139758,=,72,1,=,,IC50,nM,,4300,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,,,IC50,uM,UO_0000065,,4.3,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,12.66,0.24,1.71,6.59,4300,5.37,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Inhibitory potency,TRUE,TRUE,FALSE,FALSE,Tier 1: quantitative inhibition,Lower apparent potency (>1 to 10 uM)
EEF1G,CHEMBL4295735,,26218669,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,9.31,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,,Kd,nM,,0.491,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,,,Kd(app),nM,UO_0000065,,0.491,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,18.49,0.34,3.56,9.54,0.491,9.31,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Very high apparent potency (<=10 nM)
