"molecule_chembl_id","queried_protein","corrected_standard_type","corrected_relationship","assay_chembl_id","final_document_chembl_id","standard_value_numeric","standard_units","original_activity_types","original_activity_ids","corrected_evidence_class","evidence_tiers","standard_relations","maximum_pchembl_value","confidence_score","assay_type","assay_description","assay_relationship_type","bao_format","bao_label","doi","pubmed_id","data_validity_comments","potential_duplicate_flags","raw_record_count","duplicate_kd_ed50_collapsed","display_name","molecule_type","max_phase","development_status","source","target","source_node_id","target_node_id"
"CHEMBL1232461","EEF1A1","IC50","HAS_INHIBITORY_ACTIVITY_AGAINST","CHEMBL5700973","CHEMBL5696440",10000,"nM","IC50","26302106","Inhibitory activity from binding assay","Quantitative record requiring review",">=",,9,"B","Inhibition of EEF1A1 (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis","D",,"single protein format","10.1038/nature10509","21964340",,"0",1,FALSE,"MOLIBRESIB","Small molecule",2,"Phase 2","CHEMBL1232461","EEF1A1","compound::CHEMBL1232461","protein::EEF1A1"
"CHEMBL1232461","EEF1G","IC50","HAS_INHIBITORY_ACTIVITY_AGAINST","CHEMBL5701086","CHEMBL5696440",4300,"nM","IC50","26302219","Inhibitory activity from binding assay","Tier 1: quantitative inhibition","=",5.37,9,"B","Inhibition of EEF1G (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis","D",,"single protein format","10.1038/nature10509","21964340",,"0",1,FALSE,"MOLIBRESIB","Small molecule",2,"Phase 2","CHEMBL1232461","EEF1G","compound::CHEMBL1232461","protein::EEF1G"
"CHEMBL1232461","RPS3","IC50","HAS_INHIBITORY_ACTIVITY_AGAINST","CHEMBL5700620","CHEMBL5696440",240,"nM","IC50","26301753","Inhibitory activity from binding assay","Quantitative record requiring review",">=",,9,"B","Inhibition of RPS3 (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis","D",,"single protein format","10.1038/nature10509","21964340",,"0",1,FALSE,"MOLIBRESIB","Small molecule",2,"Phase 2","CHEMBL1232461","RPS3","compound::CHEMBL1232461","protein::RPS3"
"CHEMBL1232461","RPS3A","IC50","HAS_INHIBITORY_ACTIVITY_AGAINST","CHEMBL5700996","CHEMBL5696440",3440,"nM","IC50","26302129","Inhibitory activity from binding assay","Tier 1: quantitative inhibition","=",5.46,9,"B","Inhibition of RPS3A (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis","D",,"single protein format","10.1038/nature10509","21964340",,"0",1,FALSE,"MOLIBRESIB","Small molecule",2,"Phase 2","CHEMBL1232461","RPS3A","compound::CHEMBL1232461","protein::RPS3A"
"CHEMBL1802814","EEF1A1","Kd","BINDS_TO","CHEMBL1805291","CHEMBL1799911",3.74,"nM","Kd","6278020","Binding affinity","Tier 2: quantitative binding","=",8.43,9,"B","Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method","D",,"cell-based format","10.1021/jm101440r","21599001",,"0",1,FALSE,"CHEMBL1802814","Small molecule",,"Unknown","CHEMBL1802814","EEF1A1","compound::CHEMBL1802814","protein::EEF1A1"
"CHEMBL1802815","EEF1A1","Kd","BINDS_TO","CHEMBL1805291","CHEMBL1799911",8.15,"nM","Kd","6278021","Binding affinity","Tier 2: quantitative binding","=",8.09,9,"B","Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method","D",,"cell-based format","10.1021/jm101440r","21599001",,"0",1,FALSE,"CHEMBL1802815","Small molecule",,"Unknown","CHEMBL1802815","EEF1A1","compound::CHEMBL1802815","protein::EEF1A1"
"CHEMBL1802973","EEF1A1","Kd","BINDS_TO","CHEMBL1805291","CHEMBL1799911",57.2,"nM","Kd","6278022","Binding affinity","Tier 2: quantitative binding","=",7.24,9,"B","Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method","D",,"cell-based format","10.1021/jm101440r","21599001",,"0",1,FALSE,"CHEMBL1802973","Small molecule",,"Unknown","CHEMBL1802973","EEF1A1","compound::CHEMBL1802973","protein::EEF1A1"
"CHEMBL3752910","EEF1G","Kd","BINDS_TO","CHEMBL5651330","CHEMBL5649169",11.42,"nM","ED50; Kd","26218671; 26218672","Binding affinity","Tier 2: quantitative binding; Tier 3: quantitative functional response","=",7.94,9,"B","Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay","D",,"single protein format","10.1002/cmdc.201800398","29928781",,"0",2,TRUE,"CHEMBL3752910","Small molecule",,"Unknown","CHEMBL3752910","EEF1G","compound::CHEMBL3752910","protein::EEF1G"
"CHEMBL3752910","RPL18A","Kd","BINDS_TO","CHEMBL5652291","CHEMBL5649169",98.14,"nM","ED50; Kd","26221700; 26221701","Binding affinity","Tier 2: quantitative binding; Tier 3: quantitative functional response","=",7.01,9,"B","Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay","D",,"single protein format","10.1002/cmdc.201800398","29928781",,"0",2,TRUE,"CHEMBL3752910","Small molecule",,"Unknown","CHEMBL3752910","RPL18A","compound::CHEMBL3752910","protein::RPL18A"
"CHEMBL3752910","RPL3","Kd","BINDS_TO","CHEMBL5652302","CHEMBL5649169",2638.87,"nM","ED50; Kd","26221740; 26221741","Binding affinity","Tier 2: quantitative binding; Tier 3: quantitative functional response","=",5.58,9,"B","Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay","D",,"single protein format","10.1002/cmdc.201800398","29928781",,"0",2,TRUE,"CHEMBL3752910","Small molecule",,"Unknown","CHEMBL3752910","RPL3","compound::CHEMBL3752910","protein::RPL3"
"CHEMBL3752910","RPL4","Kd","BINDS_TO","CHEMBL5652312","CHEMBL5649169",4728.58,"nM","ED50; Kd","26221774; 26221775","Binding affinity","Tier 2: quantitative binding; Tier 3: quantitative functional response","=",5.33,9,"B","Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay","D",,"single protein format","10.1002/cmdc.201800398","29928781",,"0",2,TRUE,"CHEMBL3752910","Small molecule",,"Unknown","CHEMBL3752910","RPL4","compound::CHEMBL3752910","protein::RPL4"
"CHEMBL3752910","RPL7","Kd","BINDS_TO","CHEMBL5652315","CHEMBL5649169",16.7,"nM","ED50; Kd","26221784; 26221785","Binding affinity","Tier 2: quantitative binding; Tier 3: quantitative functional response","=",7.78,9,"B","Binding affinity to human RPL7 incubated for 45 mins by Kinobead based pull down assay","D",,"single protein format","10.1002/cmdc.201800398","29928781",,"0",2,TRUE,"CHEMBL3752910","Small molecule",,"Unknown","CHEMBL3752910","RPL7","compound::CHEMBL3752910","protein::RPL7"
"CHEMBL3752910","RPS2","Kd","BINDS_TO","CHEMBL5652335","CHEMBL5649169",80.43,"nM","ED50; Kd","26221860; 26221861","Binding affinity","Tier 2: quantitative binding; Tier 3: quantitative functional response","=",7.09,9,"B","Binding affinity to human RPS2 incubated for 45 mins by Kinobead based pull down assay","D",,"single protein format","10.1002/cmdc.201800398","29928781",,"0",2,TRUE,"CHEMBL3752910","Small molecule",,"Unknown","CHEMBL3752910","RPS2","compound::CHEMBL3752910","protein::RPS2"
"CHEMBL3752910","RPS3","Kd","BINDS_TO","CHEMBL5652347","CHEMBL5649169",3.858,"nM","ED50; Kd","26221908; 26221909","Binding affinity","Tier 2: quantitative binding; Tier 3: quantitative functional response","=",8.41,9,"B","Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay","D",,"single protein format","10.1002/cmdc.201800398","29928781",,"0",2,TRUE,"CHEMBL3752910","Small molecule",,"Unknown","CHEMBL3752910","RPS3","compound::CHEMBL3752910","protein::RPS3"
