source,target,source_node_id,target_node_id,relationship,molecule_chembl_id,compound_name,protein,target_chembl_id,standard_type,standard_units,evidence_class,evidence_tier,evidence_rank,potency_band,measurement_count,minimum_standard_value,median_standard_value,maximum_standard_value,maximum_pchembl_value,unique_assay_count,validity_warning_count,potential_duplicate_count,molecule_type,max_phase,development_status
CHEMBL1232461,RPS3,compound::CHEMBL1232461,protein::RPS3,INHIBITS,CHEMBL1232461,MOLIBRESIB,RPS3,CHEMBL6066939,IC50,nM,Inhibitory potency,Quantitative record requiring review,1,>100 to 1000 nM,1,240,240,240,,1,0,0,Small molecule,2,Phase 2
CHEMBL1232461,RPS3A,compound::CHEMBL1232461,protein::RPS3A,INHIBITS,CHEMBL1232461,MOLIBRESIB,RPS3A,CHEMBL6067564,IC50,nM,Inhibitory potency,Tier 1: quantitative inhibition,1,>1 to 10 uM,1,3440,3440,3440,5.46,1,0,0,Small molecule,2,Phase 2
CHEMBL1232461,EEF1G,compound::CHEMBL1232461,protein::EEF1G,INHIBITS,CHEMBL1232461,MOLIBRESIB,EEF1G,CHEMBL4295735,IC50,nM,Inhibitory potency,Tier 1: quantitative inhibition,1,>1 to 10 uM,1,4300,4300,4300,5.37,1,0,0,Small molecule,2,Phase 2
CHEMBL1232461,EEF1A1,compound::CHEMBL1232461,protein::EEF1A1,INHIBITS,CHEMBL1232461,MOLIBRESIB,EEF1A1,CHEMBL1795120,IC50,nM,Inhibitory potency,Quantitative record requiring review,1,>1 to 10 uM,1,10000,10000,10000,,1,0,0,Small molecule,2,Phase 2
CHEMBL5653589,EEF1G,compound::CHEMBL5653589,protein::EEF1G,BINDS_TO,CHEMBL5653589,CHEMBL5653589,EEF1G,CHEMBL4295735,Kd,nM,Binding affinity,Tier 2: quantitative binding,2,<=10 nM,1,0.491,0.491,0.491,9.31,1,0,0,,,Unknown
CHEMBL1802814,EEF1A1,compound::CHEMBL1802814,protein::EEF1A1,BINDS_TO,CHEMBL1802814,CHEMBL1802814,EEF1A1,CHEMBL1795120,Kd,nM,Binding affinity,Tier 2: quantitative binding,2,<=10 nM,1,3.74,3.74,3.74,8.43,1,0,0,Small molecule,,Unknown
CHEMBL3752910,RPS3,compound::CHEMBL3752910,protein::RPS3,BINDS_TO,CHEMBL3752910,CHEMBL3752910,RPS3,CHEMBL6066939,Kd,nM,Binding affinity,Tier 2: quantitative binding,2,<=10 nM,1,3.858,3.858,3.858,8.41,1,0,0,Small molecule,,Unknown
CHEMBL1802815,EEF1A1,compound::CHEMBL1802815,protein::EEF1A1,BINDS_TO,CHEMBL1802815,CHEMBL1802815,EEF1A1,CHEMBL1795120,Kd,nM,Binding affinity,Tier 2: quantitative binding,2,<=10 nM,1,8.15,8.15,8.15,8.09,1,0,0,Small molecule,,Unknown
CHEMBL3752910,EEF1G,compound::CHEMBL3752910,protein::EEF1G,BINDS_TO,CHEMBL3752910,CHEMBL3752910,EEF1G,CHEMBL4295735,Kd,nM,Binding affinity,Tier 2: quantitative binding,2,>10 to 100 nM,1,11.42,11.42,11.42,7.94,1,0,0,Small molecule,,Unknown
CHEMBL3752910,RPL7,compound::CHEMBL3752910,protein::RPL7,BINDS_TO,CHEMBL3752910,CHEMBL3752910,RPL7,CHEMBL6066948,Kd,nM,Binding affinity,Tier 2: quantitative binding,2,>10 to 100 nM,1,16.7,16.7,16.7,7.78,1,0,0,Small molecule,,Unknown
CHEMBL5653589,RPS3,compound::CHEMBL5653589,protein::RPS3,BINDS_TO,CHEMBL5653589,CHEMBL5653589,RPS3,CHEMBL6066939,Kd,nM,Binding affinity,Tier 2: quantitative binding,2,>10 to 100 nM,1,40.59,40.59,40.59,7.39,1,0,0,,,Unknown
