assay_chembl_id,assay_retrieved,assay_type_api,assay_description,assay_organism,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label_api,confidence_score,target_chembl_id_api,relationship_type,document_chembl_id_api,src_assay_id,assay_category,assay_tax_id
CHEMBL1805138,TRUE,B,Binding affinity to eEF1A1 in human MDA-MB-231 cells using biotinylated compound using Western blot analysis based pull down assay,Homo sapiens,,MDA-MB-231,,BAO_0000219,cell-based format,9,CHEMBL1795120,D,CHEMBL1799911,386269,,9606
CHEMBL1805291,TRUE,B,Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method,Homo sapiens,,MDA-MB-231,,BAO_0000219,cell-based format,9,CHEMBL1795120,D,CHEMBL1799911,387731,,9606
CHEMBL5650977,TRUE,B,Binding affinity to human EEF1B2 incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL4295731,D,CHEMBL5649169,,,9606
CHEMBL5651330,TRUE,B,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL4295735,D,CHEMBL5649169,,,9606
CHEMBL5652291,TRUE,B,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6067541,D,CHEMBL5649169,,,9606
CHEMBL5652302,TRUE,B,Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066907,D,CHEMBL5649169,,,9606
CHEMBL5652312,TRUE,B,Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066910,D,CHEMBL5649169,,,9606
CHEMBL5652315,TRUE,B,Binding affinity to human RPL7 incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066948,D,CHEMBL5649169,,,9606
CHEMBL5652335,TRUE,B,Binding affinity to human RPS2 incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066954,D,CHEMBL5649169,,,9606
CHEMBL5652347,TRUE,B,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066939,D,CHEMBL5649169,,,9606
CHEMBL5652348,TRUE,B,Binding affinity to human RPS3A incubated for 45 mins by Kinobead based pull down assay,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6067564,D,CHEMBL5649169,,,9606
CHEMBL5697120,TRUE,B,Inhibition of RPS3 (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066939,D,CHEMBL5696440,,,9606
CHEMBL5697473,TRUE,B,Inhibition of EEF1A1 (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL1795120,D,CHEMBL5696440,,,9606
CHEMBL5697496,TRUE,B,Inhibition of RPS3A (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6067564,D,CHEMBL5696440,,,9606
CHEMBL5697586,TRUE,B,Inhibition of EEF1G (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL4295735,D,CHEMBL5696440,,,9606
CHEMBL5697820,TRUE,B,Inhibition of RPS3 (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066939,D,CHEMBL5696440,,,9606
CHEMBL5698173,TRUE,B,Inhibition of EEF1A1 (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL1795120,D,CHEMBL5696440,,,9606
CHEMBL5698196,TRUE,B,Inhibition of RPS3A (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6067564,D,CHEMBL5696440,,,9606
CHEMBL5698286,TRUE,B,Inhibition of EEF1G (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL4295735,D,CHEMBL5696440,,,9606
CHEMBL5698520,TRUE,B,Inhibition of RPS3 (unknown origin) assessed as fold change at 0.4 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066939,D,CHEMBL5696440,,,9606
CHEMBL5698873,TRUE,B,Inhibition of EEF1A1 (unknown origin) assessed as fold change at 0.4 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL1795120,D,CHEMBL5696440,,,9606
