"molecule_chembl_id","queried_protein","standard_value_numeric","standard_units","record_count","activity_types","activity_type_count","activity_ids","assay_ids","unique_assay_count","document_ids","unique_document_count","assay_types","assay_descriptions","confidence_scores","relationship_types","dois","pubmed_ids","has_same_value_across_activity_types","likely_same_assay_reannotation","likely_same_document_evidence"
"CHEMBL3752910","EEF1G",11.42,"nM",2,"ED50; Kd",2,"26218671; 26218672","CHEMBL5651330",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL3752910","RPL18A",98.14,"nM",2,"ED50; Kd",2,"26221700; 26221701","CHEMBL5652291",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL3752910","RPL3",2638.87,"nM",2,"ED50; Kd",2,"26221740; 26221741","CHEMBL5652302",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL3752910","RPL4",4728.58,"nM",2,"ED50; Kd",2,"26221774; 26221775","CHEMBL5652312",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL3752910","RPL7",16.7,"nM",2,"ED50; Kd",2,"26221784; 26221785","CHEMBL5652315",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL3752910","RPS2",80.43,"nM",2,"ED50; Kd",2,"26221860; 26221861","CHEMBL5652335",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL3752910","RPS3",3.858,"nM",2,"ED50; Kd",2,"26221908; 26221909","CHEMBL5652347",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL3752910","RPS3A",2452.47,"nM",2,"ED50; Kd",2,"26221910; 26221911","CHEMBL5652348",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","EEF1B2",661.51,"nM",2,"ED50; Kd",2,"26217579; 26217580","CHEMBL5650977",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","EEF1G",0.491,"nM",2,"ED50; Kd",2,"26218669; 26218670","CHEMBL5651330",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","RPL18A",3154.06,"nM",2,"ED50; Kd",2,"26221698; 26221699","CHEMBL5652291",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","RPL3",10412.18,"nM",2,"ED50; Kd",2,"26221738; 26221739","CHEMBL5652302",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","RPL4",24906.3,"nM",2,"ED50; Kd",2,"26221772; 26221773","CHEMBL5652312",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","RPL7",12290.41,"nM",2,"ED50; Kd",2,"26221782; 26221783","CHEMBL5652315",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","RPS2",1825.35,"nM",2,"ED50; Kd",2,"26221858; 26221859","CHEMBL5652335",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
"CHEMBL5653589","RPS3",40.59,"nM",2,"ED50; Kd",2,"26221906; 26221907","CHEMBL5652347",1,"CHEMBL5649169",1,"B",,"9","D","10.1002/cmdc.201800398","29928781",TRUE,TRUE,TRUE
