candidate_id,candidate_name,reference_id,reference_name,tanimoto_similarity,reference_rank_for_candidate,is_nearest_reference
CHEMBL1802814,CHEMBL1802814,REF_DIDEMNIN_B,Didemnin B,0.17261904761904762,1,TRUE
CHEMBL1802814,CHEMBL1802814,REF_PLITIDEPSIN,Plitidepsin,0.17261904761904762,2,FALSE
CHEMBL1802814,CHEMBL1802814,REF_NANNOCYSTIN_A,Nannocystin A,0.12101910828025478,3,FALSE
CHEMBL1802814,CHEMBL1802814,REF_TERNATIN_4,Ternatin-4,0.11851851851851852,4,FALSE
CHEMBL1802815,CHEMBL1802815,REF_NANNOCYSTIN_A,Nannocystin A,0.1360544217687075,1,TRUE
CHEMBL1802815,CHEMBL1802815,REF_DIDEMNIN_B,Didemnin B,0.11242603550295859,2,FALSE
CHEMBL1802815,CHEMBL1802815,REF_PLITIDEPSIN,Plitidepsin,0.11242603550295859,3,FALSE
CHEMBL1802815,CHEMBL1802815,REF_TERNATIN_4,Ternatin-4,0.10077519379844961,4,FALSE
CHEMBL1802973,CHEMBL1802973,REF_DIDEMNIN_B,Didemnin B,0.12727272727272726,1,TRUE
CHEMBL1802973,CHEMBL1802973,REF_PLITIDEPSIN,Plitidepsin,0.12727272727272726,2,FALSE
CHEMBL1802973,CHEMBL1802973,REF_TERNATIN_4,Ternatin-4,0.12,3,FALSE
CHEMBL1802973,CHEMBL1802973,REF_NANNOCYSTIN_A,Nannocystin A,0.10738255033557047,4,FALSE
CHEMBL3752910,CHEMBL3752910,REF_NANNOCYSTIN_A,Nannocystin A,0.087248322147651,1,TRUE
CHEMBL3752910,CHEMBL3752910,REF_TERNATIN_4,Ternatin-4,0.0703125,2,FALSE
CHEMBL3752910,CHEMBL3752910,REF_DIDEMNIN_B,Didemnin B,0.07017543859649122,3,FALSE
CHEMBL3752910,CHEMBL3752910,REF_PLITIDEPSIN,Plitidepsin,0.06395348837209303,4,FALSE
CHEMBL5653589,CHEMBL5653589,REF_NANNOCYSTIN_A,Nannocystin A,0.08,1,TRUE
CHEMBL5653589,CHEMBL5653589,REF_DIDEMNIN_B,Didemnin B,0.07017543859649122,2,FALSE
CHEMBL5653589,CHEMBL5653589,REF_PLITIDEPSIN,Plitidepsin,0.06395348837209303,3,FALSE
CHEMBL5653589,CHEMBL5653589,REF_TERNATIN_4,Ternatin-4,0.05384615384615385,4,FALSE
CHEMBL1232461,MOLIBRESIB,REF_NANNOCYSTIN_A,Nannocystin A,0.1323529411764706,1,TRUE
CHEMBL1232461,MOLIBRESIB,REF_DIDEMNIN_B,Didemnin B,0.12179487179487179,2,FALSE
CHEMBL1232461,MOLIBRESIB,REF_PLITIDEPSIN,Plitidepsin,0.12179487179487179,3,FALSE
CHEMBL1232461,MOLIBRESIB,REF_TERNATIN_4,Ternatin-4,0.075,4,FALSE
