compound_id_1,compound_name_1,compound_class_1,compound_id_2,compound_name_2,compound_class_2,tanimoto_similarity,tanimoto_distance
REF_PLITIDEPSIN,Plitidepsin,reference_ligand,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.9016393442622951,0.09836065573770492
CHEMBL5653589,CHEMBL5653589,network_candidate,CHEMBL3752910,CHEMBL3752910,network_candidate,0.7631578947368421,0.23684210526315785
CHEMBL1802814,CHEMBL1802814,network_candidate,CHEMBL1802973,CHEMBL1802973,network_candidate,0.5408163265306123,0.4591836734693877
CHEMBL1802814,CHEMBL1802814,network_candidate,CHEMBL1802815,CHEMBL1802815,network_candidate,0.5148514851485149,0.48514851485148514
CHEMBL1802815,CHEMBL1802815,network_candidate,CHEMBL1802973,CHEMBL1802973,network_candidate,0.42,0.5800000000000001
REF_DIDEMNIN_B,Didemnin B,reference_ligand,REF_TERNATIN_4,Ternatin-4,reference_ligand,0.24832214765100671,0.7516778523489933
REF_PLITIDEPSIN,Plitidepsin,reference_ligand,REF_TERNATIN_4,Ternatin-4,reference_ligand,0.24,0.76
CHEMBL1802814,CHEMBL1802814,network_candidate,CHEMBL1232461,MOLIBRESIB,network_candidate,0.17647058823529413,0.8235294117647058
CHEMBL1802814,CHEMBL1802814,network_candidate,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.17261904761904762,0.8273809523809523
CHEMBL1802814,CHEMBL1802814,network_candidate,REF_PLITIDEPSIN,Plitidepsin,reference_ligand,0.17261904761904762,0.8273809523809523
REF_DIDEMNIN_B,Didemnin B,reference_ligand,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.17222222222222222,0.8277777777777777
REF_PLITIDEPSIN,Plitidepsin,reference_ligand,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.17222222222222222,0.8277777777777777
CHEMBL1802814,CHEMBL1802814,network_candidate,CHEMBL3752910,CHEMBL3752910,network_candidate,0.15625,0.84375
CHEMBL5653589,CHEMBL5653589,network_candidate,CHEMBL1802814,CHEMBL1802814,network_candidate,0.15625,0.84375
REF_TERNATIN_4,Ternatin-4,reference_ligand,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15384615384615385,0.8461538461538461
CHEMBL3752910,CHEMBL3752910,network_candidate,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1487603305785124,0.8512396694214877
CHEMBL5653589,CHEMBL5653589,network_candidate,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1487603305785124,0.8512396694214877
CHEMBL5653589,CHEMBL5653589,network_candidate,CHEMBL1802973,CHEMBL1802973,network_candidate,0.14166666666666666,0.8583333333333334
CHEMBL1802815,CHEMBL1802815,network_candidate,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1360544217687075,0.8639455782312925
CHEMBL1232461,MOLIBRESIB,network_candidate,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1323529411764706,0.8676470588235294
CHEMBL3752910,CHEMBL3752910,network_candidate,CHEMBL1802973,CHEMBL1802973,network_candidate,0.1322314049586777,0.8677685950413223
CHEMBL1802815,CHEMBL1802815,network_candidate,CHEMBL1232461,MOLIBRESIB,network_candidate,0.12931034482758622,0.8706896551724138
CHEMBL1802973,CHEMBL1802973,network_candidate,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.12727272727272726,0.8727272727272728
CHEMBL1802973,CHEMBL1802973,network_candidate,REF_PLITIDEPSIN,Plitidepsin,reference_ligand,0.12727272727272726,0.8727272727272728
CHEMBL1232461,MOLIBRESIB,network_candidate,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.12179487179487179,0.8782051282051282
CHEMBL1232461,MOLIBRESIB,network_candidate,REF_PLITIDEPSIN,Plitidepsin,reference_ligand,0.12179487179487179,0.8782051282051282
CHEMBL1802814,CHEMBL1802814,network_candidate,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.12101910828025478,0.8789808917197452
CHEMBL1802973,CHEMBL1802973,network_candidate,REF_TERNATIN_4,Ternatin-4,reference_ligand,0.12,0.88
CHEMBL1802814,CHEMBL1802814,network_candidate,REF_TERNATIN_4,Ternatin-4,reference_ligand,0.11851851851851852,0.8814814814814815
CHEMBL3752910,CHEMBL3752910,network_candidate,CHEMBL1232461,MOLIBRESIB,network_candidate,0.11504424778761062,0.8849557522123894
CHEMBL5653589,CHEMBL5653589,network_candidate,CHEMBL1232461,MOLIBRESIB,network_candidate,0.11504424778761062,0.8849557522123894
