stitch_flat_id,drug_name,sider_version,atc_codes
CID100002524,"1,25(OH)2D3",4.1,A11CC04; D05AX03
CID100006238,17-hydroxyprogesterone,4.1,G03DA03
CID100315411,18F-FDG,4.1,
CID110107393,18F-flutemetamol,4.1,
CID104474778,2-hydroxysuccinaldehyde,4.1,B03XA01
CID100001727,4-AP,4.1,
CID100004775,4-PBA,4.1,A16AX03
CID100003406,4-methylpyrazole,4.1,V03AB34
CID100004075,5-ASA,4.1,A07EC02
CID100003385,5-FU,4.1,L01BC02
CID100000137,5-aminolevulinic,4.1,L01XD04
CID100016886,5-aza-2'-deoxycytidine,4.1,L01BC08
CID100001805,5-azacytidine,4.1,L01BC07
CID100003366,5-fluorocytosine,4.1,D01AE21; J02AX01
CID100000146,5-methyltetrahydrofolate,4.1,
CID100667490,6-mercaptopurine,4.1,L01BB02
CID102723601,6-thioguanine,4.1,L01BB03
CID100105145,68Ga,4.1,
CID100004114,8-MOP,4.1,D05AD02; D05BA02
CID154677977,A77,4.1,
CID106328526,AC1O3HA7,4.1,
CID116132265,ACTH(1-39,4.1,H01AA01
CID103325225,ALX,4.1,H05AA03
CID100065014,AMD3100,4.1,L03AX16
CID111499245,AN2690,4.1,
CID100004649,APAs,4.1,J04AA01; J04AA02
CID116131215,Abarelix,4.1,L02BX01
CID100002085,Almeta,4.1,
CID100166548,Anidulafungin,4.1,J02AX06
CID100032800,Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2,4.1,V04CC03
CID124762228,Azarga,4.1,
CID100002578,BCNU,4.1,L01AD01
CID116130295,BPTI,4.1,B02AB01
CID109940864,Benicar-HCT,4.1,
CID116129704,Bivalirudin,4.1,B01AE06
CID100011973,Brolene,4.1,
CID100003636,Buscopan,4.1,A03BB01
CID100003222,CAS,4.1,C09AA02
CID100065281,CAS,4.1,D06AX05; J01XX10; R02AB04
CID100443379,CAS,4.1,
CID105479141,CGP,4.1,L03AX15
CID100123623,Cancidas,4.1,J02AX04
CID100004057,Cantril,4.1,A03AB12
CID111556711,Carfilzomib,4.1,
CID100216258,Colimycin,4.1,
CID100000401,D-cycloserine,4.1,J04AB01
CID100004727,D-penicillamine,4.1,M01CC01
CID100003009,DFMO,4.1,D11AX16; P01CX03
CID100000679,DMSO,4.1,G04BX13; M02AX03
CID109898619,Depreotide,4.1,
CID100107694,Diane-35,4.1,
CID100000564,EACA,4.1,B02AA01
CID100006049,EDTA,4.1,V03AB03
CID116130199,Enfuvirtide,4.1,J05AX07
CID100123610,Eptifibatide,4.1,B01AC16
CID103080904,Estrofem,4.1,
CID100003368,FAMP,4.1,
CID100477468,FK463,4.1,J02AX05
CID100122197,FP-CIT,4.1,V09AB03
CID100107969,FTY720,4.1,
CID100003363,FdUrd,4.1,
CID100023925,Fe(III,4.1,
CID116129682,Forteo,4.1,H05AA02
CID100055466,Gd-DTPA,4.1,V08CA01
CID100219084,Gd-EOB-DTPA,4.1,V08CA10
CID100083030,Ge-132,4.1,L04AA02
CID100065370,Glat,4.1,
CID100047725,Goserelin,4.1,L02AE03
CID100027304,HMDP,4.1,
CID125077993,Histrelin,4.1,H01CA03
CID100071362,Hoe,4.1,C01EB19
CID116132438,Humalog,4.1,A10AB04; A10AC04; A10AD04
CID100104741,ICI,4.1,L02BA03
CID100003687,IdUrd,4.1,D06BB01; J05AB02; S01AD01
CID100040976,Implanon,4.1,G03AC08
CID116129672,Insulin,4.1,A10AB01; A10AB02; A10AB03; A10AC01; A10AC02; A10AC03; A10AD01; A10AD02; A10AD03; A10AE01; A10AE02; A10AE03; A10AF01
CID171306834,K779,4.1,L03AB05
CID100171558,Kaluril,4.1,
CID100206527,L-Dmp,4.1,
CID100003171,L-threo-DOPS,4.1,
CID100000772,LMWH,4.1,B01AB05
CID116129629,LY146032,4.1,J01XX09
CID144146714,Lantus,4.1,A10AE04
CID100003911,Leuprorelin,4.1,L02AE02
CID100003939,LiOH,4.1,
CID100003937,Lisinopril,4.1,C09AA03
CID106452749,Locorten,4.1,
CID109831414,Lovaza,4.1,
CID109966051,Lu,4.1,
CID100071436,Lutalyse,4.1,
CID116139342,Lyxumia,4.1,
CID115951529,MDV3100,4.1,
