stitch_flat_id,stitch_stereo_id,label_umls_id,placebo,frequency_description,frequency_lower,frequency_upper,meddra_concept_type,meddra_umls_id,side_effect_name,is_placebo,sider_version
CID100000085,CID000010917,C0000737,,21%,0.21,0.21,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,,5%,0.05,0.05,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,,6%,0.06,0.06,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,,9%,0.09,0.09,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000085,CID000010917,C0000737,placebo,17%,0.17,0.17,PT,C0000737,Abdominal pain,TRUE,4.1
CID100000085,CID000010917,C0002418,,3%,0.03,0.03,PT,C0002418,Amblyopia,FALSE,4.1
CID100000085,CID000010917,C0002418,,6%,0.06,0.06,PT,C0002418,Amblyopia,FALSE,4.1
CID100000085,CID000010917,C0002418,placebo,2%,0.02,0.02,PT,C0002418,Amblyopia,TRUE,4.1
CID100000085,CID000010917,C0002871,,12%,0.12,0.12,PT,C0002871,Anaemia,FALSE,4.1
CID100000085,CID000010917,C0002871,,3%,0.03,0.03,PT,C0002871,Anaemia,FALSE,4.1
CID100000085,CID000010917,C0002871,,5%,0.05,0.05,PT,C0002871,Anaemia,FALSE,4.1
CID100000085,CID000010917,C0002871,,6%,0.06,0.06,PT,C0002871,Anaemia,FALSE,4.1
CID100000085,CID000010917,C0002871,placebo,3%,0.03,0.03,PT,C0002871,Anaemia,TRUE,4.1
CID100000085,CID000010917,C0042373,,2%,0.02,0.02,PT,C0042373,Angiopathy,FALSE,4.1
CID100000085,CID000010917,C0042373,,6%,0.06,0.06,PT,C0042373,Angiopathy,FALSE,4.1
CID100000085,CID000010917,C0042373,placebo,2%,0.02,0.02,PT,C0042373,Angiopathy,TRUE,4.1
CID100000085,CID000010917,C0003467,,1%,0.01,0.01,PT,C0003467,Anxiety,FALSE,4.1
CID100000085,CID000010917,C0003467,,2%,0.02,0.02,PT,C0003467,Anxiety,FALSE,4.1
CID100000085,CID000010917,C0003467,placebo,5%,0.05,0.05,PT,C0003467,Anxiety,TRUE,4.1
CID100000085,CID000010917,C0003811,,2%,0.02,0.02,PT,C0003811,Arrhythmia,FALSE,4.1
CID100000085,CID000010917,C0003811,,3%,0.03,0.03,PT,C0003811,Arrhythmia,FALSE,4.1
