stitch_flat_id,label_umls_id,detection_method,label_concept_name,meddra_concept_type,meddra_umls_id,indication_name,sider_version
CID100000085,C0878544,text_mention,Cardiomyopathies,PT,C0878544,Cardiomyopathy,4.1
CID100000085,C1142132,NLP_indication,Carnitine deficiency,PT,C1142132,Carnitine deficiency,4.1
CID100000085,C0085584,text_mention,Encephalopathies,PT,C0085584,Encephalopathy,4.1
CID100000085,C0015544,text_mention,Failure to Thrive,PT,C0015544,Failure to thrive,4.1
CID100000085,C0020615,text_mention,Hypoglycemia,PT,C0020615,Hypoglycaemia,4.1
CID100000085,C0026827,text_mention,Muscle hypotonia,PT,C0026827,Hypotonia,4.1
CID100000085,C0025521,NLP_indication,Inborn Errors of Metabolism,PT,C0025521,Inborn error of metabolism,4.1
CID100000085,C0026827,text_mention,Muscle hypotonia,PT,C1142135,Muscle relaxant therapy,4.1
CID100000085,C0151786,text_mention,Muscle Weakness,PT,C0151786,Muscular weakness,4.1
CID100000085,C0022661,NLP_indication,"Kidney Failure, Chronic",PT,C0022661,Renal failure chronic,4.1
CID100000119,C0221026,text_mention,X-linked agammaglobulinemia,PT,C0221026,Bruton's agammaglobulinaemia,4.1
CID100000119,C0854268,text_mention,Foetal damage,PT,C0854268,Foetal damage,4.1
CID100000119,C0019158,NLP_indication,Hepatitis,PT,C0019158,Hepatitis,4.1
CID100000119,C0019159,text_mention,Hepatitis A,PT,C0019159,Hepatitis A,4.1
CID100000119,C0019163,text_mention,Hepatitis B,PT,C0019163,Hepatitis B,4.1
CID100000119,C0042721,text_mention,Viral hepatitis,PT,C0042721,Hepatitis viral,4.1
CID100000119,C0740380,text_mention,Varicella zoster,PT,C0019360,Herpes zoster,4.1
CID100000119,C0001768,text_mention,Agammaglobulinemia,PT,C0086438,Hypogammaglobulinaemia,4.1
CID100000119,C0085393,text_mention,Immunocompromised Host,PT,C0021051,Immunodeficiency,4.1
CID100000119,C0009447,text_mention,Common Variable Immunodeficiency,PT,C0009447,Immunodeficiency common variable,4.1
CID100000119,C0009450,NLP_indication,Communicable Diseases,PT,C0009450,Infection,4.1
CID100000119,C0917801,NLP_indication,Sleeplessness,PT,C0917801,Insomnia,4.1
CID100000119,C0025007,NLP_indication,Measles,PT,C0025007,Measles,4.1
CID100000119,C0035920,NLP_indication,Rubella,PT,C0035920,Rubella,4.1
CID100000119,C0040100,text_mention,Thymoma,PT,C0040100,Thymoma,4.1
CID100000119,C0008049,text_mention,Chickenpox,PT,C0008049,Varicella,4.1
CID100000137,C0022602,NLP_indication,Actinic keratosis,PT,C0022602,Actinic keratosis,4.1
CID100000137,C0555198,NLP_indication,Malignant Glioma,PT,C0555198,Malignant glioma,4.1
CID100000137,C0162568,NLP_precondition,Erythropoietic Protoporphyria,PT,C0853026,Porphyria non-acute,4.1
CID100000137,C0022602,NLP_indication,Actinic keratosis,PT,C0022603,Seborrhoeic keratosis,4.1
CID100000143,C0002871,NLP_indication,Anemia,PT,C0002871,Anaemia,4.1
CID100000143,C0002888,NLP_indication,"Anemia, Megaloblastic",PT,C0002888,Anaemia megaloblastic,4.1
CID100000143,C0009402,NLP_indication,Colorectal Carcinoma,PT,C0007102,Colon cancer,4.1
CID100000143,C0009402,NLP_indication,Colorectal Carcinoma,PT,C1527249,Colorectal cancer,4.1
CID100000143,C0948380,NLP_indication,Colorectal cancer metastatic,PT,C0948380,Colorectal cancer metastatic,4.1
CID100000143,C0023895,text_mention,Liver diseases,PT,C0239571,Foetor hepaticus,4.1
CID100000143,C0016412,NLP_indication,Folic Acid Deficiency,PT,C0016412,Folate deficiency,4.1
CID100000143,C0023895,text_mention,Liver diseases,PT,C0151763,Hepatocellular injury,4.1
CID100000143,C0023895,text_mention,Liver diseases,PT,C0023895,Liver disorder,4.1
CID100000143,C0024523,text_mention,Malabsorption Syndrome,PT,C0024523,Malabsorption,4.1
CID100000143,C0162429,text_mention,Malnutrition,PT,C0162429,Malnutrition,4.1
CID100000143,C0006826,NLP_precondition,Malignant Neoplasms,PT,C0006826,Neoplasm malignant,4.1
CID100000143,C0029463,NLP_indication,Osteosarcoma,PT,C0029463,Osteosarcoma,4.1
CID100000143,C0002892,text_mention,"Anemia, Pernicious",PT,C0002892,Pernicious anaemia,4.1
CID100000158,C0000729,text_mention,Abdominal Cramps,PT,C0000737,Abdominal pain,4.1
CID100000158,C0000814,NLP_indication,Missed abortion,PT,C0000814,Abortion missed,4.1
CID100000158,C0020217,text_mention,Hydatidiform Mole,PT,C0549315,Benign hydatidiform mole,4.1
CID100000158,C0007222,NLP_precondition,Cardiovascular Diseases,PT,C0007222,Cardiovascular disorder,4.1
CID100000158,C0011849,text_mention,Diabetes Mellitus,PT,C0011849,Diabetes mellitus,4.1
CID100000158,C0015927,NLP_indication,Fetal Death,PT,C0015927,Foetal death,4.1
