stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version
CID100000085,CID000010917,C0000729,PT,C0000737,Abdominal pain,4.1
CID100000085,CID000010917,C0002418,PT,C0002418,Amblyopia,4.1
CID100000085,CID000010917,C0002871,PT,C0002871,Anaemia,4.1
CID100000085,CID000010917,C0042373,PT,C0042373,Angiopathy,4.1
CID100000085,CID000010917,C0003467,PT,C0003467,Anxiety,4.1
CID100000085,CID000010917,C0003811,PT,C0003811,Arrhythmia,4.1
CID100000085,CID000010917,C0004093,PT,C0004093,Asthenia,4.1
CID100000085,CID000010917,C0004238,PT,C0004238,Atrial fibrillation,4.1
CID100000085,CID000010917,C0004604,PT,C0004604,Back pain,4.1
CID100000085,CID000010917,C0015967,PT,C0015967,Body temperature increased,4.1
CID100000085,CID000010917,C0006277,PT,C0006277,Bronchitis,4.1
CID100000085,CID000010917,C0007222,PT,C0007222,Cardiovascular disorder,4.1
CID100000085,CID000010917,C0008031,PT,C0008031,Chest pain,4.1
CID100000085,CID000010917,C0009806,PT,C0009806,Constipation,4.1
CID100000085,CID000010917,C0036572,PT,C0036572,Convulsion,4.1
CID100000085,CID000010917,C0010200,PT,C0010200,Cough,4.1
CID100000085,CID000010917,C0003123,PT,C0232462,Decreased appetite,4.1
CID100000085,CID000010917,C0011570,PT,C0011570,Depression,4.1
CID100000085,CID000010917,C0015230,PT,C0011603,Dermatitis,4.1
CID100000085,CID000010917,C0011991,PT,C0011991,Diarrhoea,4.1
CID100000085,CID000010917,C0012833,PT,C0012833,Dizziness,4.1
CID100000085,CID000010917,C1510472,PT,C1510472,Drug dependence,4.1
CID100000085,CID000010917,C0013378,PT,C0013378,Dysgeusia,4.1
CID100000085,CID000010917,C0013395,PT,C0013395,Dyspepsia,4.1
CID100000085,CID000010917,C0013404,PT,C0013404,Dyspnoea,4.1
CID100000085,CID000010917,C0522055,PT,C0522055,Electrocardiogram abnormal,4.1
CID100000085,CID000010917,C0015397,PT,C0015397,Eye disorder,4.1
CID100000085,CID000010917,C0546817,PT,C0546817,Fluid overload,4.1
CID100000085,CID000010917,C0152020,PT,C0152020,Gastric atony,4.1
CID100000085,CID000010917,C0017152,PT,C0017152,Gastritis,4.1
CID100000085,CID000010917,C0017178,PT,C0017178,Gastrointestinal disorder,4.1
CID100000085,CID000010917,C0000737,PT,C0687713,Gastrointestinal pain,4.1
CID100000085,CID000010917,C0019080,PT,C0518015,Haemoglobin,4.1
CID100000085,CID000010917,C0019080,PT,C0019080,Haemorrhage,4.1
CID100000085,CID000010917,C0018681,PT,C0018681,Headache,4.1
CID100000085,CID000010917,C0020437,PT,C0020437,Hypercalcaemia,4.1
CID100000085,CID000010917,C0020461,PT,C0020461,Hyperkalaemia,4.1
CID100000085,CID000010917,C0020517,PT,C0020517,Hypersensitivity,4.1
CID100000085,CID000010917,C0020538,PT,C0020538,Hypertension,4.1
CID100000085,CID000010917,C0026826,PT,C0026826,Hypertonia,4.1
CID100000085,CID000010917,C0020649,PT,C0020649,Hypotension,4.1
CID100000085,CID000010917,C0152020,PT,C0522063,Impaired gastric emptying,4.1
CID100000085,CID000010917,C0009450,PT,C0009450,Infection,4.1
CID100000085,CID000010917,C0021400,PT,C0021400,Influenza,4.1
CID100000085,CID000010917,C0151735,PT,C0151735,Injection site reaction,4.1
CID100000085,CID000010917,C0151736,PT,C3263723,Injury,4.1
CID100000085,CID000010917,C0917801,PT,C0917801,Insomnia,4.1
CID100000085,CID000010917,C0025222,PT,C0025222,Melaena,4.1
CID100000085,CID000010917,C0023218,PT,C0037763,Muscle spasms,4.1
CID100000085,CID000010917,C0947912,PT,C0151786,Muscular weakness,4.1
CID100000085,CID000010917,C0231528,PT,C0948594,Musculoskeletal discomfort,4.1
CID100000085,CID000010917,C0231528,PT,C0231528,Myalgia,4.1
CID100000085,CID000010917,C0027497,PT,C0027497,Nausea,4.1
CID100000085,CID000010917,C0085649,PT,C0085649,Oedema peripheral,4.1
CID100000085,CID000010917,C0030193,PT,C0030193,Pain,4.1
CID100000085,CID000010917,C0030252,PT,C0030252,Palpitations,4.1
CID100000085,CID000010917,C0030554,PT,C0030554,Paraesthesia,4.1
CID100000085,CID000010917,C0030517,PT,C0030517,Parathyroid disorder,4.1
CID100000085,CID000010917,C0031350,PT,C0031350,Pharyngitis,4.1
CID100000085,CID000010917,C0033774,PT,C0033774,Pruritus,4.1
CID100000085,CID000010917,C0015230,PT,C0015230,Rash,4.1
CID100000085,CID000010917,C0035078,PT,C0035078,Renal failure,4.1
CID100000085,CID000010917,C0035455,PT,C0035455,Rhinitis,4.1
CID100000085,CID000010917,C0037199,PT,C0037199,Sinusitis,4.1
CID100000085,CID000010917,C0085595,PT,C0234930,Skin odour abnormal,4.1
CID100000085,CID000010917,C0039231,PT,C0039231,Tachycardia,4.1
CID100000085,CID000010917,C0042029,PT,C0042029,Urinary tract infection,4.1
CID100000085,CID000010917,C0042571,PT,C0042571,Vertigo,4.1
CID100000085,CID000010917,C0042963,PT,C0042963,Vomiting,4.1
CID100000085,CID000010917,C0043096,PT,C0043096,Weight decreased,4.1
CID100000085,CID000010917,C0043094,PT,C0043094,Weight increased,4.1
CID100000119,CID000000119,C0002792,PT,C0002792,Anaphylactic shock,4.1
CID100000119,CID000000119,C0002994,PT,C0002994,Angioedema,4.1
CID100000119,CID000000119,C0863083,PT,C0151828,Injection site pain,4.1
CID100000119,CID000000119,C0030193,PT,C0030193,Pain,4.1
CID100000119,CID000000119,C0042109,PT,C0042109,Urticaria,4.1
CID100000137,CID000000137,C0857807,PT,C3544060,Accidental exposure to product,4.1
CID100000137,CID000000137,C0702166,PT,C0702166,Acne,4.1
CID100000137,CID000000137,C0151905,PT,C0151905,Alanine aminotransferase increased,4.1
CID100000137,CID000000137,C0852913,PT,C0151479,Amylase increased,4.1
CID100000137,CID000000137,C0002871,PT,C0002871,Anaemia,4.1
CID100000137,CID000000137,C0042373,PT,C0042373,Angiopathy,4.1
CID100000137,CID000000137,C0003537,PT,C0003537,Aphasia,4.1
CID100000137,CID000000137,C0521490,PT,C0521490,Application site irritation,4.1
CID100000137,CID000000137,C0151505,PT,C0151505,Application site reaction,4.1
CID100000137,CID000000137,C0151904,PT,C0151904,Aspartate aminotransferase increased,4.1
CID100000137,CID000000137,C0311468,PT,C0311468,Blood bilirubin increased,4.1
CID100000137,CID000000137,C0015967,PT,C0015967,Body temperature increased,4.1
CID100000137,CID000000137,C0006118,PT,C0006118,Brain neoplasm,4.1
CID100000137,CID000000137,C1527311,PT,C1527311,Brain oedema,4.1
CID100000137,CID000000137,C0018799,PT,C0018799,Cardiac disorder,4.1
CID100000137,CID000000137,C0085593,PT,C0085593,Chills,4.1
CID100000137,CID000000137,C0036572,PT,C0036572,Convulsion,4.1
CID100000137,CID000000137,C0015230,PT,C0011603,Dermatitis,4.1
CID100000137,CID000000137,C0011991,PT,C0011991,Diarrhoea,4.1
CID100000137,CID000000137,C0234215,PT,C0234215,Discomfort,4.1
CID100000137,CID000000137,C0151908,PT,C0151908,Dry skin,4.1
CID100000137,CID000000137,C0392699,PT,C0392699,Dysaesthesia,4.1
CID100000137,CID000000137,C0040038,PT,C0013922,Embolism,4.1
CID100000137,CID000000137,C0040038,PT,C0340726,Embolism venous,4.1
CID100000137,CID000000137,C0041834,PT,C0041834,Erythema,4.1
CID100000137,CID000000137,C0015256,PT,C0015256,Excoriation,4.1
CID100000137,CID000000137,C0015397,PT,C0015397,Eye disorder,4.1
CID100000137,CID000000137,C0162285,PT,C0162285,Eyelid oedema,4.1
CID100000137,CID000000137,C0392197,PT,C2939147,Feeling hot,4.1
CID100000137,CID000000137,C0151662,PT,C0151662,Gamma-glutamyltransferase increased,4.1
CID100000137,CID000000137,C0017178,PT,C0017178,Gastrointestinal disorder,4.1
CID100000137,CID000000137,C0017638,PT,C0017638,Glioma,4.1
CID100000137,CID000000137,C0019080,PT,C0518015,Haemoglobin,4.1
CID100000137,CID000000137,C0019080,PT,C0019080,Haemorrhage,4.1
CID100000137,CID000000137,C0018681,PT,C0018681,Headache,4.1
CID100000137,CID000000137,C0018979,PT,C0018979,Hemianopia,4.1
CID100000137,CID000000137,C0018989,PT,C0018989,Hemiparesis,4.1
CID100000137,CID000000137,C0267792,PT,C0267792,Hepatobiliary disease,4.1
CID100000137,CID000000137,C0019348,PT,C0019348,Herpes simplex,4.1
CID100000137,CID000000137,C0020429,PT,C0020453,Hyperaesthesia,4.1
CID100000137,CID000000137,C0870082,PT,C0870082,Hyperkeratosis,4.1
CID100000137,CID000000137,C0020429,PT,C0020429,Hyperpathia,4.1
CID100000137,CID000000137,C0020580,PT,C0020580,Hypoaesthesia,4.1
CID100000137,CID000000137,C0020649,PT,C0020649,Hypotension,4.1
CID100000137,CID000000137,C0332534,PT,C0332534,Induration,4.1
CID100000137,CID000000137,C0009450,PT,C0009450,Infection,4.1
CID100000137,CID000000137,C0851341,PT,C1384353,Infestation,4.1
CID100000137,CID000000137,C0023518,PT,C0023518,Leukocytosis,4.1
CID100000137,CID000000137,C0162835,PT,C0162835,Leukoderma,4.1
CID100000137,CID000000137,C0004936,PT,C0004936,Mental disorder,4.1
CID100000137,CID000000137,C0027497,PT,C0027497,Nausea,4.1
CID100000137,CID000000137,C0027651,PT,C0027651,Neoplasm,4.1
CID100000137,CID000000137,C0027765,PT,C0027765,Nervous system disorder,4.1
CID100000137,CID000000137,C0027769,PT,C0027769,Nervousness,4.1
CID100000137,CID000000137,C0013604,PT,C0013604,Oedema,4.1
CID100000137,CID000000137,C0030193,PT,C0030193,Pain,4.1
CID100000137,CID000000137,C0030554,PT,C0030554,Paraesthesia,4.1
CID100000137,CID000000137,C0031256,PT,C0031256,Petechiae,4.1
CID100000137,CID000000137,C0920193,PT,C0920193,Photodermatosis,4.1
CID100000137,CID000000137,C0038814,PT,C0162830,Photosensitivity reaction,4.1
CID100000137,CID000000137,C0033774,PT,C0033774,Pruritus,4.1
CID100000137,CID000000137,C0015230,PT,C0015230,Rash,4.1
CID100000137,CID000000137,C0423791,PT,C0423791,Rash maculo-papular,4.1
CID100000137,CID000000137,C0085641,PT,C0085641,Rash pustular,4.1
CID100000137,CID000000137,C0035229,PT,C1145670,Respiratory failure,4.1
