compound_id,compound_name,compound_class,current_pubchem_cid,current_inchi_key,current_connectivity_key,sider_match_type,sider_match_confidence,sider_match_count,sider_stitch_flat_id,sider_drug_name,sider_pubchem_cid,sider_inchi_key,sider_connectivity_key,manual_review_required,interpretation
CHEMBL1802814,CHEMBL1802814,network_candidate,,JEZQQOPCGJRMDS-IPBJYNAHSA-N,JEZQQOPCGJRMDS,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
CHEMBL1802815,CHEMBL1802815,network_candidate,,XDQGSQOIWVSUFW-PMERELPUSA-N,XDQGSQOIWVSUFW,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
CHEMBL1802973,CHEMBL1802973,network_candidate,,OYKRHXHJPJWNMX-KOSHJBKYSA-N,OYKRHXHJPJWNMX,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
CHEMBL3752910,CHEMBL3752910,network_candidate,,ZCCPLJOKGAACRT-UHFFFAOYSA-N,ZCCPLJOKGAACRT,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
CHEMBL5653589,CHEMBL5653589,network_candidate,,MWKSRKSEWLRPBL-UHFFFAOYSA-N,MWKSRKSEWLRPBL,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
CHEMBL1232461,MOLIBRESIB,network_candidate,,AAAQFGUYHFJNHI-SFHVURJKSA-N,AAAQFGUYHFJNHI,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
REF_DIDEMNIN_B,Didemnin B,reference_ligand,122651,KYHUYMLIVQFXRI-SJPGYWQQSA-N,KYHUYMLIVQFXRI,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,132087316,PEOAVEOEVIQCMT-XWDGXJISSA-N,PEOAVEOEVIQCMT,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
REF_PLITIDEPSIN,Plitidepsin,reference_ligand,9812534,UUSZLLQJYRSZIS-LXNNNBEUSA-N,UUSZLLQJYRSZIS,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
REF_TERNATIN_4,Ternatin-4,reference_ligand,165362916,DWMRBCXTWRBFJC-UQQOESNSSA-N,DWMRBCXTWRBFJC,not_represented_in_sider_4.1,none,0,,,,,,FALSE,Not represented in SIDER 4.1; this does not imply absence of side effects
