query_id,query_name,query_class,sider_stitch_flat_id,sider_drug_name,sider_pubchem_cid,sider_inchi_key,atc_codes,unique_side_effect_count,tanimoto_similarity,tanimoto_distance,similarity_band,rank_for_query
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100000146,5-methyltetrahydrofolate,146,ZNOVTXRBGFNYRX-UHFFFAOYSA-N,,1,0.2413793103448276,0.7586206896551724,structurally_distant_under_this_fingerprint,1
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100000143,leucovorin,143,VVIAGPKUTFNRDU-UHFFFAOYSA-N,V03AF03; V03AF04; V03AF06,53,0.23728813559322035,0.7627118644067796,structurally_distant_under_this_fingerprint,2
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100005717,zafirlukast,5717,YEEZWCHGZNKEEK-UHFFFAOYSA-N,R03DC01,69,0.216,0.784,structurally_distant_under_this_fingerprint,3
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100004915,procarbazine,4915,CPTBDICYNRMXFX-UHFFFAOYSA-N,L01XB01,122,0.20652173913043478,0.7934782608695652,structurally_distant_under_this_fingerprint,4
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100004031,mebeverine,4031,VYVKHNNGDFVQGA-UHFFFAOYSA-N,A03AA04,17,0.2,0.8,structurally_distant_under_this_fingerprint,5
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100004547,repaglinide,4547,FAEKWTJYAYMJKF-UHFFFAOYSA-N,A10BX02,64,0.2,0.8,structurally_distant_under_this_fingerprint,6
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100208898,dronedarone,208898,ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,,44,0.19827586206896552,0.8017241379310345,structurally_distant_under_this_fingerprint,7
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100005291,imatinib,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,L01XE01,323,0.19672131147540983,0.8032786885245902,structurally_distant_under_this_fingerprint,8
CHEMBL1802814,CHEMBL1802814,network_candidate,CID100077992,frovatriptan,77992,XPSQPHWEGNHMSK-SECBINFHSA-N,N02CC07,147,0.1941747572815534,0.8058252427184466,structurally_distant_under_this_fingerprint,9
CHEMBL1802814,CHEMBL1802814,network_candidate,CID116136245,degarelix,16136245,MEUCPCLKGZSHTA-XYAYPHGZSA-N,L02BX02,112,0.19411764705882353,0.8058823529411765,structurally_distant_under_this_fingerprint,10
