query_id,query_name,query_class,nearest_sider_drug,nearest_sider_stitch_id,nearest_tanimoto,sider_drugs_tanimoto_ge_0_70,sider_drugs_tanimoto_ge_0_50,sider_drugs_tanimoto_ge_0_30,median_tanimoto
CHEMBL5653589,CHEMBL5653589,network_candidate,nilotinib,CID100644241,0.5054945054945055,0,1,2,0.08411214953271028
CHEMBL3752910,CHEMBL3752910,network_candidate,nilotinib,CID100644241,0.4891304347826087,0,0,3,0.08393297438735974
CHEMBL1232461,MOLIBRESIB,network_candidate,alprazolam,CID100002118,0.3333333333333333,0,0,3,0.1
REF_DIDEMNIN_B,Didemnin B,reference_ligand,atosiban,CID100068613,0.24719101123595505,0,0,0,0.08681159420289855
REF_PLITIDEPSIN,Plitidepsin,reference_ligand,atosiban,CID100068613,0.24719101123595505,0,0,0,0.08695652173913043
CHEMBL1802814,CHEMBL1802814,network_candidate,5-methyltetrahydrofolate,CID100000146,0.2413793103448276,0,0,0,0.10607747758307448
CHEMBL1802815,CHEMBL1802815,network_candidate,bortezomib,CID100093860,0.23232323232323232,0,0,0,0.10526315789473684
CHEMBL1802973,CHEMBL1802973,network_candidate,nisoldipine,CID100004499,0.23157894736842105,0,0,0,0.09966887417218542
REF_TERNATIN_4,Ternatin-4,reference_ligand,v,CID100002909,0.2,0,0,0,0.07874015748031496
REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,lercanidipine,CID100065866,0.1865671641791045,0,0,0,0.10071942446043165
