sider_stitch_flat_id,sider_drug_name,sider_pubchem_cid,sider_inchi_key,atc_codes,unique_side_effect_count,nearest_query_id,nearest_query_name,nearest_query_class,nearest_query_tanimoto,similarity_band
CID100644241,nilotinib,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,L01XE08,339,CHEMBL5653589,CHEMBL5653589,network_candidate,0.5054945054945055,moderate_similarity
CID100005291,imatinib,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,L01XE01,323,CHEMBL3752910,CHEMBL3752910,network_candidate,0.40425531914893614,weak_or_partial_similarity
CID100002118,alprazolam,2118,VREFGVBLTWBCJP-UHFFFAOYSA-N,N05BA12,199,CHEMBL1232461,MOLIBRESIB,network_candidate,0.3333333333333333,weak_or_partial_similarity
CID100005556,triazolam,5556,JOFWLTCLBGQGBO-UHFFFAOYSA-N,N05CD05,90,CHEMBL1232461,MOLIBRESIB,network_candidate,0.3116883116883117,weak_or_partial_similarity
CID124826799,ponatinib,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,,179,CHEMBL3752910,CHEMBL3752910,network_candidate,0.3113207547169811,weak_or_partial_similarity
CID100005391,temazepam,5391,SEQDDYPDSLOBDC-UHFFFAOYSA-N,N05CD07,81,CHEMBL1232461,MOLIBRESIB,network_candidate,0.3026315789473684,weak_or_partial_similarity
CID100003715,indomethacin,3715,CGIGDMFJXJATDK-UHFFFAOYSA-N,C01EB03; M01AB01; M02AA23; S01BC01,175,CHEMBL1232461,MOLIBRESIB,network_candidate,0.2839506172839506,structurally_distant_under_this_fingerprint
CID100013314,lormetazepam,13314,FJIKWRGCXUCUIG-UHFFFAOYSA-N,N05CD06,70,CHEMBL1232461,MOLIBRESIB,network_candidate,0.26582278481012656,structurally_distant_under_this_fingerprint
CID100003899,leflunomide,3899,VHOGYURTWQBHIL-UHFFFAOYSA-N,L04AA13,218,CHEMBL3752910,CHEMBL3752910,network_candidate,0.25609756097560976,structurally_distant_under_this_fingerprint
CID100068613,atosiban,68613,VWXRQYYUEIYXCZ-AVTFEHRISA-N,G02CX01,31,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.24719101123595505,structurally_distant_under_this_fingerprint
CID100004174,metyrapone,4174,FJLBFSROUSIWMA-UHFFFAOYSA-N,V04CD01,21,CHEMBL3752910,CHEMBL3752910,network_candidate,0.24675324675324675,structurally_distant_under_this_fingerprint
CID100082148,agomelatine,82148,YJYPHIXNFHFHND-UHFFFAOYSA-N,N06AX22,57,CHEMBL1232461,MOLIBRESIB,network_candidate,0.24358974358974358,structurally_distant_under_this_fingerprint
CID100003016,diazepam,3016,AAOVKJBEBIDNHE-UHFFFAOYSA-N,N05BA01,199,CHEMBL1232461,MOLIBRESIB,network_candidate,0.24358974358974358,structurally_distant_under_this_fingerprint
CID100004195,midodrine,4195,PTKSEFOSCHHMPD-UHFFFAOYSA-N,C01CA17,60,CHEMBL1232461,MOLIBRESIB,network_candidate,0.24358974358974358,structurally_distant_under_this_fingerprint
CID100000146,5-methyltetrahydrofolate,146,ZNOVTXRBGFNYRX-UHFFFAOYSA-N,,1,CHEMBL1802814,CHEMBL1802814,network_candidate,0.2413793103448276,structurally_distant_under_this_fingerprint
CID100041781,torasemide,41781,NGBFQHCMQULJNZ-UHFFFAOYSA-N,C03CA04,55,CHEMBL3752910,CHEMBL3752910,network_candidate,0.2391304347826087,structurally_distant_under_this_fingerprint
CID100104849,rimonabant,104849,REOYOKXLUFHOBV-UHFFFAOYSA-N,A08AX01,69,CHEMBL1232461,MOLIBRESIB,network_candidate,0.23863636363636365,structurally_distant_under_this_fingerprint
CID100004192,midazolam,4192,DDLIGBOFAVUZHB-UHFFFAOYSA-N,N05CD08,151,CHEMBL1232461,MOLIBRESIB,network_candidate,0.23809523809523808,structurally_distant_under_this_fingerprint
CID100002809,clorazepate,2809,XDDJGVMJFWAHJX-UHFFFAOYSA-N,,21,CHEMBL1232461,MOLIBRESIB,network_candidate,0.2375,structurally_distant_under_this_fingerprint
CID100000143,leucovorin,143,VVIAGPKUTFNRDU-UHFFFAOYSA-N,V03AF03; V03AF04; V03AF06,53,CHEMBL1802814,CHEMBL1802814,network_candidate,0.23728813559322035,structurally_distant_under_this_fingerprint
CID100093860,bortezomib,93860,GXJABQQUPOEUTA-NVXWUHKLSA-N,L01XX32,588,CHEMBL1802815,CHEMBL1802815,network_candidate,0.23232323232323232,structurally_distant_under_this_fingerprint
CID100004499,nisoldipine,4499,VKQFCGNPDRICFG-UHFFFAOYSA-N,C08CA07,142,CHEMBL1802973,CHEMBL1802973,network_candidate,0.23157894736842105,structurally_distant_under_this_fingerprint
CID100004915,procarbazine,4915,CPTBDICYNRMXFX-UHFFFAOYSA-N,L01XB01,122,CHEMBL1802815,CHEMBL1802815,network_candidate,0.2289156626506024,structurally_distant_under_this_fingerprint
CID100004616,oxazepam,4616,ADIMAYPTOBDMTL-UHFFFAOYSA-N,N05BA04,40,CHEMBL1232461,MOLIBRESIB,network_candidate,0.22784810126582278,structurally_distant_under_this_fingerprint
CID109825285,azilsartan,9825285,KGSXMPPBFPAXLY-UHFFFAOYSA-N,,22,CHEMBL1802815,CHEMBL1802815,network_candidate,0.22641509433962265,structurally_distant_under_this_fingerprint
CID100000896,melatonin,896,DRLFMBDRBRZALE-UHFFFAOYSA-N,N05CH01,129,CHEMBL1232461,MOLIBRESIB,network_candidate,0.225,structurally_distant_under_this_fingerprint
CID100003261,estazolam,3261,CDCHDCWJMGXXRH-UHFFFAOYSA-N,N05CD04,129,CHEMBL1232461,MOLIBRESIB,network_candidate,0.2222222222222222,structurally_distant_under_this_fingerprint
CID100065999,telmisartan,65999,RMMXLENWKUUMAY-UHFFFAOYSA-N,C09CA07,181,CHEMBL1802815,CHEMBL1802815,network_candidate,0.22018348623853212,structurally_distant_under_this_fingerprint
CID100039042,bezafibrate,39042,IIBYAHWJQTYFKB-UHFFFAOYSA-N,C10AB02,56,CHEMBL1232461,MOLIBRESIB,network_candidate,0.21951219512195122,structurally_distant_under_this_fingerprint
CID100060787,saquinavir,60787,QWAXKHKRTORLEM-LINFGICFSA-N,J05AE01,327,CHEMBL1802815,CHEMBL1802815,network_candidate,0.21951219512195122,structurally_distant_under_this_fingerprint
CID100004409,nabumetone,4409,BLXXJMDCKKHMKV-UHFFFAOYSA-N,M01AX01,117,CHEMBL1232461,MOLIBRESIB,network_candidate,0.2191780821917808,structurally_distant_under_this_fingerprint
CID116130295,BPTI,16130295,ZPNFWUPYTFPOJU-LPYSRVMUSA-N,B02AB01,108,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.21875,structurally_distant_under_this_fingerprint
