stitch_flat_id,stitch_stereo_id,label_umls_id,placebo,frequency_description,frequency_lower,frequency_upper,meddra_concept_type,meddra_umls_id,side_effect_name,is_placebo,sider_version,candidate_name
CID100002118,CID000002118,C0235295,,18.3%,0.183,0.183,PT,C0232487,Abdominal discomfort,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0235295,,21.5%,0.215,0.215,PT,C0232487,Abdominal discomfort,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0235295,placebo,21.5%,0.215,0.215,PT,C0232487,Abdominal discomfort,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0000737,,frequent,0.01,1,PT,C0000737,Abdominal pain,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0234458,,infrequent,0.001,0.01,PT,C0234458,Abnormal dreams,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0085633,,infrequent,0.001,0.01,PT,C0233472,Affect lability,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0001807,,infrequent,0.001,0.01,PT,C0001807,Aggression,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0085631,,2.6%,0.026,0.026,PT,C0085631,Agitation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0085631,,2.9%,0.029,0.029,PT,C0085631,Agitation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0085631,,frequent,0.01,1,PT,C0085631,Agitation,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0085631,placebo,2.6%,0.026,0.026,PT,C0085631,Agitation,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0392156,,1.6%,0.016,0.016,PT,C0392156,Akathisia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0392156,,2%,0.02,0.02,PT,C0392156,Akathisia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0392156,,3%,0.03,0.03,PT,C0392156,Akathisia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0392156,,4.3%,0.043,0.043,PT,C0392156,Akathisia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0392156,placebo,1%,0.01,0.01,PT,C0392156,Akathisia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0392156,placebo,1.2%,0.012,0.012,PT,C0392156,Akathisia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0392156,placebo,4.3%,0.043,0.043,PT,C0392156,Akathisia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0549249,,infrequent,0.001,0.01,PT,C0150450,Altered state of consciousness,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0002622,,infrequent,0.001,0.01,PT,C0002622,Amnesia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0002957,,infrequent,0.001,0.01,PT,C0002957,Anger,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0002994,,postmarketing,0,0.001,PT,C0002994,Angioedema,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0042373,,1.5%,0.015,0.015,PT,C0042373,Angiopathy,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0042373,,5.9%,0.059,0.059,PT,C0042373,Angiopathy,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0042373,,infrequent,0.001,0.01,PT,C0042373,Angiopathy,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0042373,placebo,1.4%,0.014,0.014,PT,C0042373,Angiopathy,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0042373,placebo,2.7%,0.027,0.027,PT,C0042373,Angiopathy,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0003467,,1.1%,0.011,0.011,PT,C0003467,Anxiety,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0003467,,16.6%,0.166,0.166,PT,C0003467,Anxiety,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0003467,,7.8%,0.078,0.078,PT,C0003467,Anxiety,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0003467,placebo,0.6%,0.006,0.006,PT,C0003467,Anxiety,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0003467,placebo,2.7%,0.027,0.027,PT,C0003467,Anxiety,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0003467,placebo,24.9%,0.249,0.249,PT,C0003467,Anxiety,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0085632,,infrequent,0.001,0.01,PT,C0085632,Apathy,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0003862,,2.4%,0.024,0.024,PT,C0003862,Arthralgia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0003862,placebo,0.6%,0.006,0.006,PT,C0003862,Arthralgia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0004093,,7.1%,0.071,0.071,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0004093,,8.4%,0.084,0.084,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0004093,,frequent,0.01,1,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0004093,,infrequent,0.001,0.01,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0004093,placebo,8.4%,0.084,0.084,PT,C0004093,Asthenia,TRUE,4.1,alprazolam
CID100002118,CID000002118,C0015672,,1.7%,0.017,0.017,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015672,,1.8%,0.018,0.018,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
CID100002118,CID000002118,C0015672,,13.9%,0.139,0.139,PT,C0004093,Asthenia,FALSE,4.1,alprazolam
