stitch_flat_id,label_umls_id,detection_method,label_concept_name,meddra_concept_type,meddra_umls_id,indication_name,sider_version,candidate_name
CID100002118,C0235295,text_mention,Abdominal distress,PT,C0232487,Abdominal discomfort,4.1,alprazolam
CID100002118,C0001807,NLP_precondition,Aggressive behavior,PT,C0001807,Aggression,4.1,alprazolam
CID100002118,C0085631,text_mention,Agitation,PT,C0085631,Agitation,4.1,alprazolam
CID100002118,C0001818,NLP_indication,Agoraphobia,PT,C0001818,Agoraphobia,4.1,alprazolam
CID100002118,C0003467,NLP_indication,Anxiety,PT,C0003467,Anxiety,4.1,alprazolam
CID100002118,C0003469,NLP_indication,Anxiety Disorders,PT,C0003469,Anxiety disorder,4.1,alprazolam
CID100002118,C0015672,text_mention,Fatigue,PT,C0004093,Asthenia,4.1,alprazolam
CID100002118,C0006012,NLP_precondition,Borderline Personality Disorder,PT,C0006012,Borderline personality disorder,4.1,alprazolam
CID100002118,C0008031,text_mention,Chest Pain,PT,C0008031,Chest pain,4.1,alprazolam
CID100002118,C0085593,text_mention,Chills,PT,C0085593,Chills,4.1,alprazolam
CID100002118,C0008301,text_mention,Choking,PT,C0008301,Choking,4.1,alprazolam
CID100002118,C0546947,text_mention,Choking sensation,PT,C0546947,Choking sensation,4.1,alprazolam
CID100002118,C0038661,text_mention,Suicide,PT,C0852733,Completed suicide,4.1,alprazolam
CID100002118,C0424091,text_mention,Decreased interest,PT,C0424091,Decreased interest,4.1,alprazolam
CID100002118,C0011551,text_mention,Depersonalization,PT,C0011551,Depersonalisation,4.1,alprazolam
CID100002118,C0344315,text_mention,Depressed mood,PT,C0344315,Depressed mood,4.1,alprazolam
CID100002118,C0011579,text_mention,Reactive depression,PT,C0011570,Depression,4.1,alprazolam
CID100002118,C0086132,NLP_indication,Depressive Symptoms,PT,C0086132,Depressive symptom,4.1,alprazolam
CID100002118,C0233754,text_mention,Derealization,PT,C0233754,Derealisation,4.1,alprazolam
CID100002118,C0011991,text_mention,Diarrhea,PT,C0011991,Diarrhoea,4.1,alprazolam
CID100002118,C0231170,text_mention,Disability,PT,C0231170,Disability,4.1,alprazolam
CID100002118,C0234215,text_mention,Sensory Discomfort,PT,C0234215,Discomfort,4.1,alprazolam
CID100002118,C0235198,text_mention,Unable to concentrate,PT,C0233414,Disturbance in attention,4.1,alprazolam
CID100002118,C0012833,text_mention,Dizziness,PT,C0012833,Dizziness,4.1,alprazolam
CID100002118,C0043352,text_mention,Xerostomia,PT,C0043352,Dry mouth,4.1,alprazolam
CID100002118,C0013404,text_mention,Dyspnea,PT,C0013404,Dyspnoea,4.1,alprazolam
CID100002118,C0282126,text_mention,"Depression, Neurotic",PT,C0013415,Dysthymic disorder,4.1,alprazolam
CID100002118,C1740801,text_mention,Exaggerated startle response,PT,C1740801,Exaggerated startle response,4.1,alprazolam
CID100002118,C0015672,text_mention,Fatigue,PT,C0015672,Fatigue,4.1,alprazolam
CID100002118,C0522179,text_mention,Fear of death,PT,C0522179,Fear of death,4.1,alprazolam
CID100002118,C0016382,text_mention,Flushing,PT,C0016382,Flushing,4.1,alprazolam
CID100002118,C0270549,NLP_indication,Generalized Anxiety Disorder,PT,C0270549,Generalised anxiety disorder,4.1,alprazolam
CID100002118,C0600142,text_mention,Hot flushes,PT,C0600142,Hot flush,4.1,alprazolam
CID100002118,C0038990,text_mention,Sweating,PT,C0020458,Hyperhidrosis,4.1,alprazolam
CID100002118,C0424295,text_mention,Hyperactive behavior,PT,C0424295,Hyperkinesia,4.1,alprazolam
CID100002118,C0020550,text_mention,Hyperthyroidism,PT,C0020550,Hyperthyroidism,4.1,alprazolam
CID100002118,C0028643,text_mention,Numbness,PT,C0020580,Hypoaesthesia,4.1,alprazolam
CID100002118,C0917801,text_mention,Sleeplessness,PT,C0917801,Insomnia,4.1,alprazolam
CID100002118,C0022107,text_mention,Irritable Mood,PT,C0022107,Irritability,4.1,alprazolam
CID100002118,C0039070,text_mention,Syncope,PT,C0041657,Loss of consciousness,4.1,alprazolam
CID100002118,C0221423,text_mention,Illness (finding),PT,C0231218,Malaise,4.1,alprazolam
