stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version,candidate_name
CID100002118,CID000002118,C0235295,PT,C0232487,Abdominal discomfort,4.1,alprazolam
CID100002118,CID000002118,C0000737,PT,C0000737,Abdominal pain,4.1,alprazolam
CID100002118,CID000002118,C0234458,PT,C0234458,Abnormal dreams,4.1,alprazolam
CID100002118,CID000002118,C0085633,PT,C0233472,Affect lability,4.1,alprazolam
CID100002118,CID000002118,C0001807,PT,C0001807,Aggression,4.1,alprazolam
CID100002118,CID000002118,C0085631,PT,C0085631,Agitation,4.1,alprazolam
CID100002118,CID000002118,C0392156,PT,C0392156,Akathisia,4.1,alprazolam
CID100002118,CID000002118,C0549249,PT,C0150450,Altered state of consciousness,4.1,alprazolam
CID100002118,CID000002118,C0002622,PT,C0002622,Amnesia,4.1,alprazolam
CID100002118,CID000002118,C0002957,PT,C0002957,Anger,4.1,alprazolam
CID100002118,CID000002118,C0002994,PT,C0002994,Angioedema,4.1,alprazolam
CID100002118,CID000002118,C0042373,PT,C0042373,Angiopathy,4.1,alprazolam
CID100002118,CID000002118,C0003467,PT,C0003467,Anxiety,4.1,alprazolam
CID100002118,CID000002118,C0085632,PT,C0085632,Apathy,4.1,alprazolam
CID100002118,CID000002118,C0003862,PT,C0003862,Arthralgia,4.1,alprazolam
CID100002118,CID000002118,C0004093,PT,C0004093,Asthenia,4.1,alprazolam
CID100002118,CID000002118,C0004134,PT,C0004134,Ataxia,4.1,alprazolam
CID100002118,CID000002118,C0004604,PT,C0004604,Back pain,4.1,alprazolam
CID100002118,CID000002118,C0575090,PT,C0575090,Balance disorder,4.1,alprazolam
CID100002118,CID000002118,C0311468,PT,C0311468,Blood bilirubin increased,4.1,alprazolam
CID100002118,CID000002118,C0015967,PT,C0015967,Body temperature increased,4.1,alprazolam
CID100002118,CID000002118,C0554976,PT,C0554976,Bradyphrenia,4.1,alprazolam
CID100002118,CID000002118,C0006145,PT,C0006145,Breast disorder,4.1,alprazolam
CID100002118,CID000002118,C0018799,PT,C0018799,Cardiac disorder,4.1,alprazolam
CID100002118,CID000002118,C0232292,PT,C0235710,Chest discomfort,4.1,alprazolam
CID100002118,CID000002118,C0008031,PT,C0008031,Chest pain,4.1,alprazolam
CID100002118,CID000002118,C0424790,PT,C0085593,Chills,4.1,alprazolam
CID100002118,CID000002118,C0546947,PT,C0546947,Choking sensation,4.1,alprazolam
CID100002118,CID000002118,C0233844,PT,C0233844,Clumsiness,4.1,alprazolam
CID100002118,CID000002118,C0009241,PT,C0009241,Cognitive disorder,4.1,alprazolam
CID100002118,CID000002118,C0392162,PT,C0232431,Cold sweat,4.1,alprazolam
CID100002118,CID000002118,C0038661,PT,C0852733,Completed suicide,4.1,alprazolam
CID100002118,CID000002118,C0009676,PT,C0009676,Confusional state,4.1,alprazolam
CID100002118,CID000002118,C0009782,PT,C0009782,Connective tissue disorder,4.1,alprazolam
CID100002118,CID000002118,C0009806,PT,C0009806,Constipation,4.1,alprazolam
CID100002118,CID000002118,C0036572,PT,C0036572,Convulsion,4.1,alprazolam
CID100002118,CID000002118,C0520966,PT,C0520966,Coordination abnormal,4.1,alprazolam
CID100002118,CID000002118,C0003123,PT,C0232462,Decreased appetite,4.1,alprazolam
CID100002118,CID000002118,C0011551,PT,C0011551,Depersonalisation,4.1,alprazolam
CID100002118,CID000002118,C0085628,PT,C0549249,Depressed level of consciousness,4.1,alprazolam
CID100002118,CID000002118,C0344315,PT,C0344315,Depressed mood,4.1,alprazolam
CID100002118,CID000002118,C0011570,PT,C0011570,Depression,4.1,alprazolam
CID100002118,CID000002118,C0233754,PT,C0233754,Derealisation,4.1,alprazolam
CID100002118,CID000002118,C0011603,PT,C0011603,Dermatitis,4.1,alprazolam
CID100002118,CID000002118,C0011991,PT,C0011991,Diarrhoea,4.1,alprazolam
CID100002118,CID000002118,C0012569,PT,C0012569,Diplopia,4.1,alprazolam
CID100002118,CID000002118,C0231218,PT,C0234215,Discomfort,4.1,alprazolam
CID100002118,CID000002118,C0424296,PT,C0424296,Disinhibition,4.1,alprazolam
CID100002118,CID000002118,C0233407,PT,C0233407,Disorientation,4.1,alprazolam
CID100002118,CID000002118,C0233414,PT,C0233414,Disturbance in attention,4.1,alprazolam
CID100002118,CID000002118,C0011124,PT,C0855242,Disturbance in sexual arousal,4.1,alprazolam
