metric,value
input_activity_record_count,12292
relevant_input_record_count,3
recalculated_network_record_count,0
classification_changed_record_count,3
corrected_evidence_relationship_count,3
candidate_count_with_corrected_evidence,3
independent_assay_count,1
independent_document_count,1
weak_30000_nM_relationship_count,3
direct_eef1a_candidate_count,0
eef1_complex_candidate_count,0
translation_network_candidate_count,0
chemical_comparator_count,6
low_priority_network_comparator_count,0
assay_metadata_unavailable_count,0
document_metadata_unavailable_count,0
