compound_id,compound_name,normalised_compound_name,compound_class,compound_origin,chembl_id,pubchem_cid,sider_stitch_flat_id,full_inchi_key,parent_connectivity_key,canonical_smiles,analysis_smiles,atc_codes,nearest_query_name,nearest_query_tanimoto,similarity_band,biological_classification,progression_status,sider_representation,unique_side_effect_count,indication_count,indication_names,independent_assay_count,independent_document_count,matched_network_proteins,max_phase,first_approval,data_source,commercial_availability_status,exact_commercial_product_present,supplier_count,commercial_product_count,commercial_identity_status,supplier_last_checked,supplier_manual_review_required,commercial_data_source,live_network_detail_ready
CHEMBL1802814,CHEMBL1802814,chembl1802814,network_candidate,A16_current_or_reference_compound,CHEMBL1802814,,,JEZQQOPCGJRMDS-IPBJYNAHSA-N,JEZQQOPCGJRMDS,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,,CHEMBL1802814,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
CHEMBL1802815,CHEMBL1802815,chembl1802815,network_candidate,A16_current_or_reference_compound,CHEMBL1802815,,,XDQGSQOIWVSUFW-PMERELPUSA-N,XDQGSQOIWVSUFW,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,,CHEMBL1802815,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
CHEMBL1802973,CHEMBL1802973,chembl1802973,network_candidate,A16_current_or_reference_compound,CHEMBL1802973,,,OYKRHXHJPJWNMX-KOSHJBKYSA-N,OYKRHXHJPJWNMX,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,,CHEMBL1802973,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
CHEMBL3752910,CHEMBL3752910,chembl3752910,network_candidate,A16_current_or_reference_compound,CHEMBL3752910,,,ZCCPLJOKGAACRT-UHFFFAOYSA-N,ZCCPLJOKGAACRT,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,CHEMBL3752910,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
CHEMBL5653589,CHEMBL5653589,chembl5653589,network_candidate,A16_current_or_reference_compound,CHEMBL5653589,,,MWKSRKSEWLRPBL-UHFFFAOYSA-N,MWKSRKSEWLRPBL,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,CHEMBL5653589,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
REF_DIDEMNIN_B,Didemnin B,didemninb,reference_ligand,A16_current_or_reference_compound,,122651,,KYHUYMLIVQFXRI-SJPGYWQQSA-N,KYHUYMLIVQFXRI,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)[C@H](C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,,Didemnin B,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
CHEMBL1232461,MOLIBRESIB,molibresib,network_candidate,A16_current_or_reference_compound,CHEMBL1232461,,,AAAQFGUYHFJNHI-SFHVURJKSA-N,AAAQFGUYHFJNHI,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,MOLIBRESIB,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
REF_NANNOCYSTIN_A,Nannocystin A,nannocystina,reference_ligand,A16_current_or_reference_compound,,132087316,,PEOAVEOEVIQCMT-XWDGXJISSA-N,PEOAVEOEVIQCMT,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)OC(C(C=CC=C(C(CC2C(O2)(C(=O)N1C)C)OC)C)C)C3=CC=CC=C3)C(C)(C)O)CC4=CC(=C(C(=C4)Cl)O)Cl,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)O[C@@H]([C@@H](/C=C/C=C(/[C@@H](C[C@H]2[C@@](O2)(C(=O)N1C)C)OC)\C)C)C3=CC=CC=C3)C(C)(C)O)CC4=CC(=C(C(=C4)Cl)O)Cl,,Nannocystin A,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
REF_PLITIDEPSIN,Plitidepsin,plitidepsin,reference_ligand,A16_current_or_reference_compound,,9812534,,UUSZLLQJYRSZIS-LXNNNBEUSA-N,UUSZLLQJYRSZIS,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,,Plitidepsin,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
REF_TERNATIN_4,Ternatin-4,ternatin4,reference_ligand,A16_current_or_reference_compound,,165362916,,DWMRBCXTWRBFJC-UQQOESNSSA-N,DWMRBCXTWRBFJC,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)N2CCCCC2C(=O)NC(C(=O)N1)C(C(C)C)O)C)C)CC(C)C=C)CC(C)C)C)C)C,CC[C@H](C)[C@H]1C(=O)N([C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCCC[C@@H]2C(=O)N[C@H](C(=O)N1)[C@@H](C(C)C)O)C)C)C[C@@H](C)C=C)CC(C)C)C)C)C,,Ternatin-4,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,not_represented_in_sider_4.1,0,0,,,,,,,A16,not_yet_checked,,,,not_yet_checked,,TRUE,,TRUE
