compound_id,compound_name,compound_class,compound_origin,nearest_query_name,nearest_query_tanimoto,similarity_band,biological_classification,progression_status,matched_network_proteins,independent_assay_count,independent_document_count,sider_representation,unique_side_effect_count,indication_count,indication_names,max_phase,first_approval,direct_eef1a_evidence,network_evidence,chemical_similarity_only,scientific_evidence_status
CHEMBL1802814,CHEMBL1802814,network_candidate,A16_current_or_reference_compound,CHEMBL1802814,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
CHEMBL1802815,CHEMBL1802815,network_candidate,A16_current_or_reference_compound,CHEMBL1802815,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
CHEMBL1802973,CHEMBL1802973,network_candidate,A16_current_or_reference_compound,CHEMBL1802973,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
CHEMBL3752910,CHEMBL3752910,network_candidate,A16_current_or_reference_compound,CHEMBL3752910,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
CHEMBL5653589,CHEMBL5653589,network_candidate,A16_current_or_reference_compound,CHEMBL5653589,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
REF_DIDEMNIN_B,Didemnin B,reference_ligand,A16_current_or_reference_compound,Didemnin B,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
CHEMBL1232461,MOLIBRESIB,network_candidate,A16_current_or_reference_compound,MOLIBRESIB,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,A16_current_or_reference_compound,Nannocystin A,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
REF_PLITIDEPSIN,Plitidepsin,reference_ligand,A16_current_or_reference_compound,Plitidepsin,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
REF_TERNATIN_4,Ternatin-4,reference_ligand,A16_current_or_reference_compound,Ternatin-4,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,,,,not_represented_in_sider_4.1,0,0,,,,FALSE,FALSE,FALSE,existing_resko_evidence
A17_ALPRAZOLAM,alprazolam,benzodiazepine_related_comparator,A17_SIDER_chemical_neighbour,MOLIBRESIB,0.3333333333333333,weak_or_partial_similarity,Chemical and side-effect comparator only,retain_as_chemical_comparator,,0,0,represented_in_sider_4.1,199,67,Abdominal discomfort; Aggression; Agitation; Agoraphobia; Anxiety; Anxiety disorder; Asthenia; Borderline personality disorder; Chest pain; Chills; Choking; Choking sensation; Completed suicide; Decreased interest; Depersonalisation; Depressed mood; Depression; Depressive symptom; Derealisation; Diarrhoea; Disability; Discomfort; Disturbance in attention; Dizziness; Dry mouth; Dyspnoea; Dysthymic disorder; Exaggerated startle response; Fatigue; Fear of death; Flushing; Generalised anxiety disorder; Hot flush; Hyperhidrosis; Hyperkinesia; Hyperthyroidism; Hypoaesthesia; Insomnia; Irritability; Loss of consciousness; Malaise; Mass; Menopausal symptoms; Mental disability; Mental disorder; Muscle twitching; Nausea; Nervousness; Pain; Palpitations; Panic attack; Panic disorder; Paraesthesia; Phobia; Phobic avoidance; Poisoning; Pollakiuria; Post-traumatic stress disorder; Sensory loss; Shock; Social phobia; Substance abuse; Syncope; Tachycardia; Tenderness; Tension; Tremor,4,1981,FALSE,FALSE,TRUE,chemical_similarity_only
A17_IMATINIB,imatinib,kinase_inhibitor_comparator,A17_SIDER_chemical_neighbour,CHEMBL3752910,0.40425531914893614,weak_or_partial_similarity,Chemical and side-effect comparator only,retain_as_chemical_comparator,,1,1,represented_in_sider_4.1,323,15,Acute lymphocytic leukaemia; Blast cell crisis; Cardiac failure congestive; Chromosome analysis abnormal; Chronic eosinophilic leukaemia; Chronic myeloid leukaemia; Dermatofibrosarcoma protuberans; Gastrointestinal stromal tumour; Hypereosinophilic syndrome; Infection; Leukaemia; Neutropenia; Pleural effusion; Renal failure; Systemic mastocytosis,4,2001,FALSE,FALSE,TRUE,chemical_similarity_only
A17_NILOTINIB,nilotinib,kinase_inhibitor_comparator,A17_SIDER_chemical_neighbour,CHEMBL5653589,0.5054945054945055,moderate_similarity,Chemical and side-effect comparator only,retain_as_chemical_comparator,,1,1,represented_in_sider_4.1,339,2,Chromosome analysis abnormal; Chronic myeloid leukaemia,4,2007,FALSE,FALSE,TRUE,chemical_similarity_only
A17_PONATINIB,ponatinib,kinase_inhibitor_comparator,A17_SIDER_chemical_neighbour,CHEMBL3752910,0.3113207547169811,weak_or_partial_similarity,Chemical and side-effect comparator only,retain_as_chemical_comparator,,1,1,represented_in_sider_4.1,179,8,Acute lymphocytic leukaemia; Blast cell crisis; Chromosome analysis abnormal; Chronic myeloid leukaemia; Diabetes mellitus; Hyperlipidaemia; Hypertension; Ischaemia,4,2012,FALSE,FALSE,TRUE,chemical_similarity_only
A17_TEMAZEPAM,temazepam,benzodiazepine_related_comparator,A17_SIDER_chemical_neighbour,MOLIBRESIB,0.3026315789473684,weak_or_partial_similarity,Chemical and side-effect comparator only,retain_as_chemical_comparator,,0,0,represented_in_sider_4.1,81,2,Insomnia; Terminal insomnia,4,1981,FALSE,FALSE,TRUE,chemical_similarity_only
A17_TRIAZOLAM,triazolam,benzodiazepine_related_comparator,A17_SIDER_chemical_neighbour,MOLIBRESIB,0.3116883116883117,weak_or_partial_similarity,Chemical and side-effect comparator only,retain_as_chemical_comparator,,0,0,represented_in_sider_4.1,90,1,Insomnia,4,1978,FALSE,FALSE,TRUE,chemical_similarity_only
