supplier_lookup_id,compound_id,compound_name,compound_origin,chembl_id,pubchem_cid,full_inchi_key,parent_connectivity_key,canonical_smiles,analysis_smiles,cas_number,maximum_clinical_phase,scientific_priority_status,lookup_identifier_type,pubchem_vendor_lookup_status,molport_lookup_status,emolecules_lookup_status,institutional_supplier_lookup_status,commercial_listing_present,exact_product_present,supplier_count,commercial_product_count,identity_match_class,manual_identity_review_required,last_checked,lookup_notes
SUPLOOKUP_CHEMBL1802814,CHEMBL1802814,CHEMBL1802814,A16_current_or_reference_compound,CHEMBL1802814,,JEZQQOPCGJRMDS-IPBJYNAHSA-N,JEZQQOPCGJRMDS,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_CHEMBL1802815,CHEMBL1802815,CHEMBL1802815,A16_current_or_reference_compound,CHEMBL1802815,,XDQGSQOIWVSUFW-PMERELPUSA-N,XDQGSQOIWVSUFW,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_CHEMBL1802973,CHEMBL1802973,CHEMBL1802973,A16_current_or_reference_compound,CHEMBL1802973,,OYKRHXHJPJWNMX-KOSHJBKYSA-N,OYKRHXHJPJWNMX,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_CHEMBL3752910,CHEMBL3752910,CHEMBL3752910,A16_current_or_reference_compound,CHEMBL3752910,,ZCCPLJOKGAACRT-UHFFFAOYSA-N,ZCCPLJOKGAACRT,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_CHEMBL5653589,CHEMBL5653589,CHEMBL5653589,A16_current_or_reference_compound,CHEMBL5653589,,MWKSRKSEWLRPBL-UHFFFAOYSA-N,MWKSRKSEWLRPBL,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_REF_DIDEMNIN_B,REF_DIDEMNIN_B,Didemnin B,A16_current_or_reference_compound,,122651,KYHUYMLIVQFXRI-SJPGYWQQSA-N,KYHUYMLIVQFXRI,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)[C@H](C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_CHEMBL1232461,CHEMBL1232461,MOLIBRESIB,A16_current_or_reference_compound,CHEMBL1232461,,AAAQFGUYHFJNHI-SFHVURJKSA-N,AAAQFGUYHFJNHI,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_REF_NANNOCYSTIN_A,REF_NANNOCYSTIN_A,Nannocystin A,A16_current_or_reference_compound,,132087316,PEOAVEOEVIQCMT-XWDGXJISSA-N,PEOAVEOEVIQCMT,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)OC(C(C=CC=C(C(CC2C(O2)(C(=O)N1C)C)OC)C)C)C3=CC=CC=C3)C(C)(C)O)CC4=CC(=C(C(=C4)Cl)O)Cl,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)O[C@@H]([C@@H](/C=C/C=C(/[C@@H](C[C@H]2[C@@](O2)(C(=O)N1C)C)OC)\C)C)C3=CC=CC=C3)C(C)(C)O)CC4=CC(=C(C(=C4)Cl)O)Cl,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_REF_PLITIDEPSIN,REF_PLITIDEPSIN,Plitidepsin,A16_current_or_reference_compound,,9812534,UUSZLLQJYRSZIS-LXNNNBEUSA-N,UUSZLLQJYRSZIS,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
SUPLOOKUP_REF_TERNATIN_4,REF_TERNATIN_4,Ternatin-4,A16_current_or_reference_compound,,165362916,DWMRBCXTWRBFJC-UQQOESNSSA-N,DWMRBCXTWRBFJC,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)N2CCCCC2C(=O)NC(C(=O)N1)C(C(C)C)O)C)C)CC(C)C=C)CC(C)C)C)C)C,CC[C@H](C)[C@H]1C(=O)N([C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCCC[C@@H]2C(=O)N[C@H](C(=O)N1)[C@@H](C(C)C)O)C)C)C[C@@H](C)C=C)CC(C)C)C)C)C,,,existing_resko_compound,full_inchi_key,not_started,not_started,not_started,not_started,,,,,not_yet_assessed,TRUE,,
