supplier_lookup_id,compound_id,compound_name,compound_origin,chembl_id,original_pubchem_cid,resolved_pubchem_cid,full_inchi_key,parent_connectivity_key,pubchem_vendor_lookup_status,commercial_availability_status,public_vendor_information_present,supplier_count,commercial_product_record_count,supplier_names,product_urls,exact_product_present,identity_review_required,date_checked
SUPLOOKUP_CHEMBL1802814,CHEMBL1802814,CHEMBL1802814,A16_current_or_reference_compound,CHEMBL1802814,,53362901,JEZQQOPCGJRMDS-IPBJYNAHSA-N,JEZQQOPCGJRMDS,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_CHEMBL1802815,CHEMBL1802815,CHEMBL1802815,A16_current_or_reference_compound,CHEMBL1802815,,56662893,XDQGSQOIWVSUFW-PMERELPUSA-N,XDQGSQOIWVSUFW,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_CHEMBL1802973,CHEMBL1802973,CHEMBL1802973,A16_current_or_reference_compound,CHEMBL1802973,,53361218,OYKRHXHJPJWNMX-KOSHJBKYSA-N,OYKRHXHJPJWNMX,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_CHEMBL3752910,CHEMBL3752910,CHEMBL3752910,A16_current_or_reference_compound,CHEMBL3752910,,16747388,ZCCPLJOKGAACRT-UHFFFAOYSA-N,ZCCPLJOKGAACRT,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_CHEMBL5653589,CHEMBL5653589,CHEMBL5653589,A16_current_or_reference_compound,CHEMBL5653589,,117602383,MWKSRKSEWLRPBL-UHFFFAOYSA-N,MWKSRKSEWLRPBL,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_REF_DIDEMNIN_B,REF_DIDEMNIN_B,Didemnin B,A16_current_or_reference_compound,,122651,122651,KYHUYMLIVQFXRI-SJPGYWQQSA-N,KYHUYMLIVQFXRI,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_CHEMBL1232461,CHEMBL1232461,MOLIBRESIB,A16_current_or_reference_compound,CHEMBL1232461,,46943432,AAAQFGUYHFJNHI-SFHVURJKSA-N,AAAQFGUYHFJNHI,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_REF_NANNOCYSTIN_A,REF_NANNOCYSTIN_A,Nannocystin A,A16_current_or_reference_compound,,132087316,132087316,PEOAVEOEVIQCMT-XWDGXJISSA-N,PEOAVEOEVIQCMT,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_REF_PLITIDEPSIN,REF_PLITIDEPSIN,Plitidepsin,A16_current_or_reference_compound,,9812534,9812534,UUSZLLQJYRSZIS-LXNNNBEUSA-N,UUSZLLQJYRSZIS,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_REF_TERNATIN_4,REF_TERNATIN_4,Ternatin-4,A16_current_or_reference_compound,,165362916,165362916,DWMRBCXTWRBFJC-UQQOESNSSA-N,DWMRBCXTWRBFJC,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_A17_ALPRAZOLAM,A17_ALPRAZOLAM,alprazolam,A17_SIDER_chemical_neighbour,CHEMBL661,2118,2118,VREFGVBLTWBCJP-UHFFFAOYSA-N,VREFGVBLTWBCJP,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_A17_IMATINIB,A17_IMATINIB,imatinib,A17_SIDER_chemical_neighbour,CHEMBL941,5291,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_A17_NILOTINIB,A17_NILOTINIB,nilotinib,A17_SIDER_chemical_neighbour,CHEMBL255863,644241,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_A17_PONATINIB,A17_PONATINIB,ponatinib,A17_SIDER_chemical_neighbour,CHEMBL1171837,24826799,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,PHXJVRSECIGDHY,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_A17_TEMAZEPAM,A17_TEMAZEPAM,temazepam,A17_SIDER_chemical_neighbour,CHEMBL967,5391,5391,SEQDDYPDSLOBDC-UHFFFAOYSA-N,SEQDDYPDSLOBDC,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
SUPLOOKUP_A17_TRIAZOLAM,A17_TRIAZOLAM,triazolam,A17_SIDER_chemical_neighbour,CHEMBL646,5556,5556,JOFWLTCLBGQGBO-UHFFFAOYSA-N,JOFWLTCLBGQGBO,no_supplier_references_found,no_public_supplier_names_found,FALSE,0,0,,,,FALSE,2026-08-21
