compound_id,compound_name,resolved_pubchem_cid,full_inchi_key,public_vendor_information_present,supplier_count,identity_review_status,review_reason,manual_review_completed,reviewer,review_date,review_notes
CHEMBL1802814,CHEMBL1802814,53362901,JEZQQOPCGJRMDS-IPBJYNAHSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
CHEMBL1802815,CHEMBL1802815,56662893,XDQGSQOIWVSUFW-PMERELPUSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
CHEMBL1802973,CHEMBL1802973,53361218,OYKRHXHJPJWNMX-KOSHJBKYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
CHEMBL3752910,CHEMBL3752910,16747388,ZCCPLJOKGAACRT-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
CHEMBL5653589,CHEMBL5653589,117602383,MWKSRKSEWLRPBL-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
REF_DIDEMNIN_B,Didemnin B,122651,KYHUYMLIVQFXRI-SJPGYWQQSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
CHEMBL1232461,MOLIBRESIB,46943432,AAAQFGUYHFJNHI-SFHVURJKSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
REF_NANNOCYSTIN_A,Nannocystin A,132087316,PEOAVEOEVIQCMT-XWDGXJISSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
REF_PLITIDEPSIN,Plitidepsin,9812534,UUSZLLQJYRSZIS-LXNNNBEUSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
REF_TERNATIN_4,Ternatin-4,165362916,DWMRBCXTWRBFJC-UQQOESNSSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
A17_ALPRAZOLAM,alprazolam,2118,VREFGVBLTWBCJP-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
A17_IMATINIB,imatinib,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
A17_NILOTINIB,nilotinib,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
A17_PONATINIB,ponatinib,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
A17_TEMAZEPAM,temazepam,5391,SEQDDYPDSLOBDC-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
A17_TRIAZOLAM,triazolam,5556,JOFWLTCLBGQGBO-UHFFFAOYSA-N,FALSE,0,no_public_supplier_record_to_review,No public PubChem supplier reference was found.,FALSE,,,
