commercial_product_id,compound_id,compound_name,pubchem_cid,vendor_heading,information_name,information_text,product_url,section_path,commercial_data_source,date_checked,identity_match_class,manual_verification_status,stock_status,purity,pack_size,price,currency,lead_time
PUBCHEM_PRODUCT_000001,CHEMBL3752910,CHEMBL3752910,16747388,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000002,CHEMBL5653589,CHEMBL5653589,117602383,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000003,REF_DIDEMNIN_B,Didemnin B,122651,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000004,CHEMBL1232461,MOLIBRESIB,46943432,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000005,REF_PLITIDEPSIN,Plitidepsin,9812534,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000006,A17_ALPRAZOLAM,alprazolam,2118,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000007,A17_IMATINIB,imatinib,5291,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000008,A17_NILOTINIB,nilotinib,644241,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000009,A17_PONATINIB,ponatinib,24826799,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000010,A17_TEMAZEPAM,temazepam,5391,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
PUBCHEM_PRODUCT_000011,A17_TRIAZOLAM,triazolam,5556,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,pubchem_compound_association_requires_review,not_verified,not_independently_verified,,,,,
