compound_id,compound_name,resolved_pubchem_cid,full_inchi_key,commercial_availability_status,public_vendor_information_present,supplier_count,commercial_product_record_count,listing_identity_classes,exact_identity_confirmed,manual_product_review_required,procurement_readiness,reviewer,review_date,review_notes
CHEMBL1802814,CHEMBL1802814,53362901,JEZQQOPCGJRMDS-IPBJYNAHSA-N,no_public_vendor_information_found,FALSE,0,0,,FALSE,FALSE,no_verified_product,,,
CHEMBL1802815,CHEMBL1802815,56662893,XDQGSQOIWVSUFW-PMERELPUSA-N,no_public_vendor_information_found,FALSE,0,0,,FALSE,FALSE,no_verified_product,,,
CHEMBL1802973,CHEMBL1802973,53361218,OYKRHXHJPJWNMX-KOSHJBKYSA-N,no_public_vendor_information_found,FALSE,0,0,,FALSE,FALSE,no_verified_product,,,
CHEMBL3752910,CHEMBL3752910,16747388,ZCCPLJOKGAACRT-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
CHEMBL5653589,CHEMBL5653589,117602383,MWKSRKSEWLRPBL-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
REF_DIDEMNIN_B,Didemnin B,122651,KYHUYMLIVQFXRI-SJPGYWQQSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
CHEMBL1232461,MOLIBRESIB,46943432,AAAQFGUYHFJNHI-SFHVURJKSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
REF_NANNOCYSTIN_A,Nannocystin A,132087316,PEOAVEOEVIQCMT-XWDGXJISSA-N,no_public_vendor_information_found,FALSE,0,0,,FALSE,FALSE,no_verified_product,,,
REF_PLITIDEPSIN,Plitidepsin,9812534,UUSZLLQJYRSZIS-LXNNNBEUSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
REF_TERNATIN_4,Ternatin-4,165362916,DWMRBCXTWRBFJC-UQQOESNSSA-N,no_public_vendor_information_found,FALSE,0,0,,FALSE,FALSE,no_verified_product,,,
A17_ALPRAZOLAM,alprazolam,2118,VREFGVBLTWBCJP-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
A17_IMATINIB,imatinib,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
A17_NILOTINIB,nilotinib,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
A17_PONATINIB,ponatinib,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
A17_TEMAZEPAM,temazepam,5391,SEQDDYPDSLOBDC-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
A17_TRIAZOLAM,triazolam,5556,JOFWLTCLBGQGBO-UHFFFAOYSA-N,public_vendor_information_available,TRUE,1,1,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,,,
