commercial_product_id,compound_id,compound_name,pubchem_cid,vendor_heading,information_name,information_text,product_url,section_path,commercial_data_source,date_checked,identity_match_class,manual_verification_status,stock_status,purity,pack_size,price,currency,lead_time,exact_identity_confirmed,scientific_parent_form_confirmed,manual_review_required,manual_review_notes,scientific_full_inchi_key,scientific_parent_connectivity_key,scientific_canonical_smiles
PUBCHEM_PRODUCT_000001,CHEMBL3752910,CHEMBL3752910,16747388,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,ZCCPLJOKGAACRT-UHFFFAOYSA-N,ZCCPLJOKGAACRT,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C
PUBCHEM_PRODUCT_000002,CHEMBL5653589,CHEMBL5653589,117602383,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,MWKSRKSEWLRPBL-UHFFFAOYSA-N,MWKSRKSEWLRPBL,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12
PUBCHEM_PRODUCT_000003,REF_DIDEMNIN_B,Didemnin B,122651,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,KYHUYMLIVQFXRI-SJPGYWQQSA-N,KYHUYMLIVQFXRI,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O
PUBCHEM_PRODUCT_000004,CHEMBL1232461,MOLIBRESIB,46943432,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,AAAQFGUYHFJNHI-SFHVURJKSA-N,AAAQFGUYHFJNHI,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
PUBCHEM_PRODUCT_000005,REF_PLITIDEPSIN,Plitidepsin,9812534,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,UUSZLLQJYRSZIS-LXNNNBEUSA-N,UUSZLLQJYRSZIS,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O
PUBCHEM_PRODUCT_000006,A17_ALPRAZOLAM,alprazolam,2118,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,VREFGVBLTWBCJP-UHFFFAOYSA-N,VREFGVBLTWBCJP,
PUBCHEM_PRODUCT_000007,A17_IMATINIB,imatinib,5291,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW,
PUBCHEM_PRODUCT_000008,A17_NILOTINIB,nilotinib,644241,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,
PUBCHEM_PRODUCT_000009,A17_PONATINIB,ponatinib,24826799,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,PHXJVRSECIGDHY-UHFFFAOYSA-N,PHXJVRSECIGDHY,
PUBCHEM_PRODUCT_000010,A17_TEMAZEPAM,temazepam,5391,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,SEQDDYPDSLOBDC-UHFFFAOYSA-N,SEQDDYPDSLOBDC,
PUBCHEM_PRODUCT_000011,A17_TRIAZOLAM,triazolam,5556,Chemical Vendors,,TRUE,,Chemical Vendors,PubChem Chemical Vendors,2026-08-20,public_listing_identity_requires_review,not_verified,not_independently_verified,,,,,,FALSE,FALSE,TRUE,,JOFWLTCLBGQGBO-UHFFFAOYSA-N,JOFWLTCLBGQGBO,
