compound_id,alias,normalised_alias,alias_type
CHEMBL1802814,CHEMBL1802814,chembl1802814,compound_id
CHEMBL1802814,CHEMBL1802814,chembl1802814,compound_name
CHEMBL1802814,CHEMBL1802814,chembl1802814,chembl_id
CHEMBL1802814,53362901,53362901,pubchem_cid
CHEMBL1802814,JEZQQOPCGJRMDS-IPBJYNAHSA-N,jezqqopcgjrmdsipbjynahsan,full_inchi_key
CHEMBL1802815,CHEMBL1802815,chembl1802815,compound_id
CHEMBL1802815,CHEMBL1802815,chembl1802815,compound_name
CHEMBL1802815,CHEMBL1802815,chembl1802815,chembl_id
CHEMBL1802815,56662893,56662893,pubchem_cid
CHEMBL1802815,XDQGSQOIWVSUFW-PMERELPUSA-N,xdqgsqoiwvsufwpmerelpusan,full_inchi_key
CHEMBL1802973,CHEMBL1802973,chembl1802973,compound_id
CHEMBL1802973,CHEMBL1802973,chembl1802973,compound_name
CHEMBL1802973,CHEMBL1802973,chembl1802973,chembl_id
CHEMBL1802973,53361218,53361218,pubchem_cid
CHEMBL1802973,OYKRHXHJPJWNMX-KOSHJBKYSA-N,oykrhxhjpjwnmxkoshjbkysan,full_inchi_key
CHEMBL3752910,CHEMBL3752910,chembl3752910,compound_id
CHEMBL3752910,CHEMBL3752910,chembl3752910,compound_name
CHEMBL3752910,CHEMBL3752910,chembl3752910,chembl_id
CHEMBL3752910,16747388,16747388,pubchem_cid
CHEMBL3752910,ZCCPLJOKGAACRT-UHFFFAOYSA-N,zccpljokgaacrtuhfffaoysan,full_inchi_key
CHEMBL5653589,CHEMBL5653589,chembl5653589,compound_id
CHEMBL5653589,CHEMBL5653589,chembl5653589,compound_name
CHEMBL5653589,CHEMBL5653589,chembl5653589,chembl_id
CHEMBL5653589,117602383,117602383,pubchem_cid
CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N,mwksrksewlrpbluhfffaoysan,full_inchi_key
REF_DIDEMNIN_B,REF_DIDEMNIN_B,refdidemninb,compound_id
REF_DIDEMNIN_B,Didemnin B,didemninb,compound_name
REF_DIDEMNIN_B,122651,122651,pubchem_cid
REF_DIDEMNIN_B,KYHUYMLIVQFXRI-SJPGYWQQSA-N,kyhuymlivqfxrisjpgywqqsan,full_inchi_key
CHEMBL1232461,CHEMBL1232461,chembl1232461,compound_id
CHEMBL1232461,MOLIBRESIB,molibresib,compound_name
CHEMBL1232461,CHEMBL1232461,chembl1232461,chembl_id
CHEMBL1232461,46943432,46943432,pubchem_cid
CHEMBL1232461,AAAQFGUYHFJNHI-SFHVURJKSA-N,aaaqfguyhfjnhisfhvurjksan,full_inchi_key
