compound_id,node_lookup_id,compound_name,node_type,compound_class,compound_origin,chembl_id,pubchem_cid,full_inchi_key,parent_connectivity_key,canonical_smiles,analysis_smiles,nearest_query_name,nearest_query_tanimoto,similarity_band,biological_classification,progression_status,scientific_evidence_status,matched_network_proteins,independent_assay_count,independent_document_count,maximum_clinical_phase,first_approval_year,sider_representation,side_effect_record_count,side_effect_names,indication_record_count,indication_names,closest_side_effect_neighbour,highest_side_effect_jaccard,highest_side_effect_cosine,commercial_availability_status,public_vendor_information_present,supplier_count,commercial_product_record_count,supplier_names,public_product_urls,listing_identity_classes,exact_product_identity_confirmed,manual_product_review_required,procurement_readiness,commercial_data_checked,detail_panel_status
CHEMBL1802814,CHEMBL1802814,CHEMBL1802814,compound,network_candidate,A16_current_or_reference_compound,CHEMBL1802814,53362901,JEZQQOPCGJRMDS-IPBJYNAHSA-N,JEZQQOPCGJRMDS,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,CHEMBL1802814,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,no_public_vendor_information_found,FALSE,0,0,,,,FALSE,FALSE,no_verified_product,2026-08-20,ready
CHEMBL1802815,CHEMBL1802815,CHEMBL1802815,compound,network_candidate,A16_current_or_reference_compound,CHEMBL1802815,56662893,XDQGSQOIWVSUFW-PMERELPUSA-N,XDQGSQOIWVSUFW,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,CHEMBL1802815,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,no_public_vendor_information_found,FALSE,0,0,,,,FALSE,FALSE,no_verified_product,2026-08-20,ready
CHEMBL1802973,CHEMBL1802973,CHEMBL1802973,compound,network_candidate,A16_current_or_reference_compound,CHEMBL1802973,53361218,OYKRHXHJPJWNMX-KOSHJBKYSA-N,OYKRHXHJPJWNMX,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,CHEMBL1802973,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,no_public_vendor_information_found,FALSE,0,0,,,,FALSE,FALSE,no_verified_product,2026-08-20,ready
CHEMBL3752910,CHEMBL3752910,CHEMBL3752910,compound,network_candidate,A16_current_or_reference_compound,CHEMBL3752910,16747388,ZCCPLJOKGAACRT-UHFFFAOYSA-N,ZCCPLJOKGAACRT,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,CHEMBL3752910,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,public_vendor_information_available,TRUE,1,1,Chemical Vendors,,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,2026-08-20,ready
CHEMBL5653589,CHEMBL5653589,CHEMBL5653589,compound,network_candidate,A16_current_or_reference_compound,CHEMBL5653589,117602383,MWKSRKSEWLRPBL-UHFFFAOYSA-N,MWKSRKSEWLRPBL,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,CHEMBL5653589,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,public_vendor_information_available,TRUE,1,1,Chemical Vendors,,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,2026-08-20,ready
REF_DIDEMNIN_B,REF_DIDEMNIN_B,Didemnin B,compound,reference_ligand,A16_current_or_reference_compound,,122651,KYHUYMLIVQFXRI-SJPGYWQQSA-N,KYHUYMLIVQFXRI,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)[C@H](C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,Didemnin B,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,public_vendor_information_available,TRUE,1,1,Chemical Vendors,,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,2026-08-20,ready
CHEMBL1232461,CHEMBL1232461,MOLIBRESIB,compound,network_candidate,A16_current_or_reference_compound,CHEMBL1232461,46943432,AAAQFGUYHFJNHI-SFHVURJKSA-N,AAAQFGUYHFJNHI,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,MOLIBRESIB,1,self_or_reference_query,Existing RESKO candidate,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,public_vendor_information_available,TRUE,1,1,Chemical Vendors,,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,2026-08-20,ready
REF_NANNOCYSTIN_A,REF_NANNOCYSTIN_A,Nannocystin A,compound,reference_ligand,A16_current_or_reference_compound,,132087316,PEOAVEOEVIQCMT-XWDGXJISSA-N,PEOAVEOEVIQCMT,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)OC(C(C=CC=C(C(CC2C(O2)(C(=O)N1C)C)OC)C)C)C3=CC=CC=C3)C(C)(C)O)CC4=CC(=C(C(=C4)Cl)O)Cl,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)O[C@@H]([C@@H](/C=C/C=C(/[C@@H](C[C@H]2[C@@](O2)(C(=O)N1C)C)OC)\C)C)C3=CC=CC=C3)C(C)(C)O)CC4=CC(=C(C(=C4)Cl)O)Cl,Nannocystin A,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,no_public_vendor_information_found,FALSE,0,0,,,,FALSE,FALSE,no_verified_product,2026-08-20,ready
REF_PLITIDEPSIN,REF_PLITIDEPSIN,Plitidepsin,compound,reference_ligand,A16_current_or_reference_compound,,9812534,UUSZLLQJYRSZIS-LXNNNBEUSA-N,UUSZLLQJYRSZIS,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,Plitidepsin,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,public_vendor_information_available,TRUE,1,1,Chemical Vendors,,public_listing_identity_requires_review,FALSE,TRUE,manual_product_identity_review_required,2026-08-20,ready
REF_TERNATIN_4,REF_TERNATIN_4,Ternatin-4,compound,reference_ligand,A16_current_or_reference_compound,,165362916,DWMRBCXTWRBFJC-UQQOESNSSA-N,DWMRBCXTWRBFJC,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)N2CCCCC2C(=O)NC(C(=O)N1)C(C(C)C)O)C)C)CC(C)C=C)CC(C)C)C)C)C,CC[C@H](C)[C@H]1C(=O)N([C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCCC[C@@H]2C(=O)N[C@H](C(=O)N1)[C@@H](C(C)C)O)C)C)C[C@@H](C)C=C)CC(C)C)C)C)C,Ternatin-4,1,self_or_reference_query,Established eEF1A reference ligand,existing_resko_compound,existing_resko_evidence,,,,,,not_represented_in_sider_4.1,0,,0,,,,,no_public_vendor_information_found,FALSE,0,0,,,,FALSE,FALSE,no_verified_product,2026-08-20,ready
