compound_id,compound_name,pubchem_vendor_signal,supplier_names_recovered_programmatically,supplier_lookup_status,exact_supplier_product_verified
CHEMBL1802814,CHEMBL1802814,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
CHEMBL1802815,CHEMBL1802815,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
CHEMBL1802973,CHEMBL1802973,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
CHEMBL3752910,CHEMBL3752910,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
CHEMBL5653589,CHEMBL5653589,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
REF_DIDEMNIN_B,Didemnin B,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
CHEMBL1232461,MOLIBRESIB,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
REF_NANNOCYSTIN_A,Nannocystin A,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
REF_PLITIDEPSIN,Plitidepsin,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
REF_TERNATIN_4,Ternatin-4,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
A17_ALPRAZOLAM,alprazolam,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
A17_IMATINIB,imatinib,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
A17_NILOTINIB,nilotinib,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
A17_PONATINIB,ponatinib,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
A17_TEMAZEPAM,temazepam,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
A17_TRIAZOLAM,triazolam,no_programmatic_supplier_signal,0,external_supplier_search_required,FALSE
