compound_id,compound_name,chembl_id,pubchem_cid,full_inchi_key,parent_connectivity_key,canonical_smiles,compound_origin,biological_classification,progression_status,resolved_pubchem_cid,pubchem_vendor_signal,external_supplier_lookup_required,lookup_priority
CHEMBL1802814,CHEMBL1802814,CHEMBL1802814,,JEZQQOPCGJRMDS-IPBJYNAHSA-N,JEZQQOPCGJRMDS,COc1ccc(Nc2nc3cc4c(=O)cc(-c5ccc(C(=O)N[C@@H](CC(C)C)C(N)=O)cc5)oc4cc3n2[C@H](C)C2CCCCC2)cc1,A16_current_or_reference_compound,Existing RESKO candidate,existing_resko_compound,53362901,no_programmatic_supplier_signal,TRUE,primary
CHEMBL1802815,CHEMBL1802815,CHEMBL1802815,,XDQGSQOIWVSUFW-PMERELPUSA-N,XDQGSQOIWVSUFW,CC(C)CNc1nc2cc3c(=O)cc(-c4ccc(C(=O)N[C@@H](Cc5ccccc5)C(N)=O)cc4)oc3cc2n1Cc1ccccc1,A16_current_or_reference_compound,Existing RESKO candidate,existing_resko_compound,56662893,no_programmatic_supplier_signal,TRUE,primary
CHEMBL1802973,CHEMBL1802973,CHEMBL1802973,,OYKRHXHJPJWNMX-KOSHJBKYSA-N,OYKRHXHJPJWNMX,CC(C)C[C@H](NC(=O)c1ccc(-c2cc(=O)c3cc([N+](=O)[O-])c(N[C@H](C)C4CCCCC4)cc3o2)cc1)C(N)=O,A16_current_or_reference_compound,Existing RESKO candidate,existing_resko_compound,53361218,no_programmatic_supplier_signal,TRUE,primary
CHEMBL3752910,CHEMBL3752910,CHEMBL3752910,,ZCCPLJOKGAACRT-UHFFFAOYSA-N,ZCCPLJOKGAACRT,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,A16_current_or_reference_compound,Existing RESKO candidate,existing_resko_compound,16747388,no_programmatic_supplier_signal,TRUE,primary
CHEMBL5653589,CHEMBL5653589,CHEMBL5653589,,MWKSRKSEWLRPBL-UHFFFAOYSA-N,MWKSRKSEWLRPBL,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,A16_current_or_reference_compound,Existing RESKO candidate,existing_resko_compound,117602383,no_programmatic_supplier_signal,TRUE,primary
REF_DIDEMNIN_B,Didemnin B,,122651,KYHUYMLIVQFXRI-SJPGYWQQSA-N,KYHUYMLIVQFXRI,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,A16_current_or_reference_compound,Established eEF1A reference ligand,existing_resko_compound,122651,no_programmatic_supplier_signal,TRUE,primary
CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,,AAAQFGUYHFJNHI-SFHVURJKSA-N,AAAQFGUYHFJNHI,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,A16_current_or_reference_compound,Existing RESKO candidate,existing_resko_compound,46943432,no_programmatic_supplier_signal,TRUE,primary
REF_NANNOCYSTIN_A,Nannocystin A,,132087316,PEOAVEOEVIQCMT-XWDGXJISSA-N,PEOAVEOEVIQCMT,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)OC(C(C=CC=C(C(CC2C(O2)(C(=O)N1C)C)OC)C)C)C3=CC=CC=C3)C(C)(C)O)CC4=CC(=C(C(=C4)Cl)O)Cl,A16_current_or_reference_compound,Established eEF1A reference ligand,existing_resko_compound,132087316,no_programmatic_supplier_signal,TRUE,primary
REF_PLITIDEPSIN,Plitidepsin,,9812534,UUSZLLQJYRSZIS-LXNNNBEUSA-N,UUSZLLQJYRSZIS,CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O,A16_current_or_reference_compound,Established eEF1A reference ligand,existing_resko_compound,9812534,no_programmatic_supplier_signal,TRUE,primary
REF_TERNATIN_4,Ternatin-4,,165362916,DWMRBCXTWRBFJC-UQQOESNSSA-N,DWMRBCXTWRBFJC,CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)N2CCCCC2C(=O)NC(C(=O)N1)C(C(C)C)O)C)C)CC(C)C=C)CC(C)C)C)C)C,A16_current_or_reference_compound,Established eEF1A reference ligand,existing_resko_compound,165362916,no_programmatic_supplier_signal,TRUE,primary
A17_ALPRAZOLAM,alprazolam,CHEMBL661,2118,VREFGVBLTWBCJP-UHFFFAOYSA-N,VREFGVBLTWBCJP,,A17_SIDER_chemical_neighbour,Chemical and side-effect comparator only,retain_as_chemical_comparator,2118,no_programmatic_supplier_signal,TRUE,comparison
A17_IMATINIB,imatinib,CHEMBL941,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW,,A17_SIDER_chemical_neighbour,Chemical and side-effect comparator only,retain_as_chemical_comparator,5291,no_programmatic_supplier_signal,TRUE,comparison
A17_NILOTINIB,nilotinib,CHEMBL255863,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,,A17_SIDER_chemical_neighbour,Chemical and side-effect comparator only,retain_as_chemical_comparator,644241,no_programmatic_supplier_signal,TRUE,comparison
A17_PONATINIB,ponatinib,CHEMBL1171837,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,PHXJVRSECIGDHY,,A17_SIDER_chemical_neighbour,Chemical and side-effect comparator only,retain_as_chemical_comparator,24826799,no_programmatic_supplier_signal,TRUE,comparison
A17_TEMAZEPAM,temazepam,CHEMBL967,5391,SEQDDYPDSLOBDC-UHFFFAOYSA-N,SEQDDYPDSLOBDC,,A17_SIDER_chemical_neighbour,Chemical and side-effect comparator only,retain_as_chemical_comparator,5391,no_programmatic_supplier_signal,TRUE,comparison
A17_TRIAZOLAM,triazolam,CHEMBL646,5556,JOFWLTCLBGQGBO-UHFFFAOYSA-N,JOFWLTCLBGQGBO,,A17_SIDER_chemical_neighbour,Chemical and side-effect comparator only,retain_as_chemical_comparator,5556,no_programmatic_supplier_signal,TRUE,comparison
