compound_id,compound_name,supplier_record_count,unique_supplier_count,supplier_names,catalogue_numbers,product_urls,verified_exact_product_count,pubchem_vendor_page,molport_search_url,emolecules_search_url,supplier_lookup_status,exact_supplier_product_verified
CHEMBL1802814,CHEMBL1802814,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/53362901#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/JEZQQOPCGJRMDS-IPBJYNAHSA-N,https://www.emolecules.com/search?query=JEZQQOPCGJRMDS-IPBJYNAHSA-N,external_supplier_search_required,FALSE
CHEMBL1802815,CHEMBL1802815,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/56662893#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/XDQGSQOIWVSUFW-PMERELPUSA-N,https://www.emolecules.com/search?query=XDQGSQOIWVSUFW-PMERELPUSA-N,external_supplier_search_required,FALSE
CHEMBL1802973,CHEMBL1802973,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/53361218#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/OYKRHXHJPJWNMX-KOSHJBKYSA-N,https://www.emolecules.com/search?query=OYKRHXHJPJWNMX-KOSHJBKYSA-N,external_supplier_search_required,FALSE
CHEMBL3752910,CHEMBL3752910,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/16747388#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/ZCCPLJOKGAACRT-UHFFFAOYSA-N,https://www.emolecules.com/search?query=ZCCPLJOKGAACRT-UHFFFAOYSA-N,external_supplier_search_required,FALSE
CHEMBL5653589,CHEMBL5653589,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/117602383#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/MWKSRKSEWLRPBL-UHFFFAOYSA-N,https://www.emolecules.com/search?query=MWKSRKSEWLRPBL-UHFFFAOYSA-N,external_supplier_search_required,FALSE
REF_DIDEMNIN_B,Didemnin B,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/122651#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/KYHUYMLIVQFXRI-SJPGYWQQSA-N,https://www.emolecules.com/search?query=KYHUYMLIVQFXRI-SJPGYWQQSA-N,external_supplier_search_required,FALSE
CHEMBL1232461,MOLIBRESIB,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/46943432#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/AAAQFGUYHFJNHI-SFHVURJKSA-N,https://www.emolecules.com/search?query=AAAQFGUYHFJNHI-SFHVURJKSA-N,external_supplier_search_required,FALSE
REF_NANNOCYSTIN_A,Nannocystin A,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/132087316#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/PEOAVEOEVIQCMT-XWDGXJISSA-N,https://www.emolecules.com/search?query=PEOAVEOEVIQCMT-XWDGXJISSA-N,external_supplier_search_required,FALSE
REF_PLITIDEPSIN,Plitidepsin,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/9812534#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/UUSZLLQJYRSZIS-LXNNNBEUSA-N,https://www.emolecules.com/search?query=UUSZLLQJYRSZIS-LXNNNBEUSA-N,external_supplier_search_required,FALSE
REF_TERNATIN_4,Ternatin-4,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/165362916#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/DWMRBCXTWRBFJC-UQQOESNSSA-N,https://www.emolecules.com/search?query=DWMRBCXTWRBFJC-UQQOESNSSA-N,external_supplier_search_required,FALSE
A17_ALPRAZOLAM,alprazolam,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/2118#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/VREFGVBLTWBCJP-UHFFFAOYSA-N,https://www.emolecules.com/search?query=VREFGVBLTWBCJP-UHFFFAOYSA-N,external_supplier_search_required,FALSE
A17_IMATINIB,imatinib,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/5291#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/KTUFNOKKBVMGRW-UHFFFAOYSA-N,https://www.emolecules.com/search?query=KTUFNOKKBVMGRW-UHFFFAOYSA-N,external_supplier_search_required,FALSE
A17_NILOTINIB,nilotinib,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/644241#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/HHZIURLSWUIHRB-UHFFFAOYSA-N,https://www.emolecules.com/search?query=HHZIURLSWUIHRB-UHFFFAOYSA-N,external_supplier_search_required,FALSE
A17_PONATINIB,ponatinib,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/24826799#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/PHXJVRSECIGDHY-UHFFFAOYSA-N,https://www.emolecules.com/search?query=PHXJVRSECIGDHY-UHFFFAOYSA-N,external_supplier_search_required,FALSE
A17_TEMAZEPAM,temazepam,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/5391#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/SEQDDYPDSLOBDC-UHFFFAOYSA-N,https://www.emolecules.com/search?query=SEQDDYPDSLOBDC-UHFFFAOYSA-N,external_supplier_search_required,FALSE
A17_TRIAZOLAM,triazolam,0,0,,,,0,https://pubchem.ncbi.nlm.nih.gov/compound/5556#section=Chemical-Vendors,https://www.molport.com/shop/molecule-link/JOFWLTCLBGQGBO-UHFFFAOYSA-N,https://www.emolecules.com/search?query=JOFWLTCLBGQGBO-UHFFFAOYSA-N,external_supplier_search_required,FALSE
