compound_id,supplier_name,catalogue_number,product_name,product_url,listed_smiles,listed_inchi_key,form_description,purity,pack_size,price,currency,stock_status,lead_time,date_checked,source_platform,exact_identity_manually_verified,reviewer,review_notes
CHEMBL1802814,,,,,,,,,,,,,,,,FALSE,,
CHEMBL1802815,,,,,,,,,,,,,,,,FALSE,,
CHEMBL1802973,,,,,,,,,,,,,,,,FALSE,,
CHEMBL3752910,,,,,,,,,,,,,,,,FALSE,,
CHEMBL5653589,,,,,,,,,,,,,,,,FALSE,,
REF_DIDEMNIN_B,,,,,,,,,,,,,,,,FALSE,,
CHEMBL1232461,,,,,,,,,,,,,,,,FALSE,,
REF_NANNOCYSTIN_A,,,,,,,,,,,,,,,,FALSE,,
REF_PLITIDEPSIN,,,,,,,,,,,,,,,,FALSE,,
REF_TERNATIN_4,,,,,,,,,,,,,,,,FALSE,,
A17_ALPRAZOLAM,,,,,,,,,,,,,,,,FALSE,,
A17_IMATINIB,,,,,,,,,,,,,,,,FALSE,,
A17_NILOTINIB,,,,,,,,,,,,,,,,FALSE,,
A17_PONATINIB,,,,,,,,,,,,,,,,FALSE,,
A17_TEMAZEPAM,,,,,,,,,,,,,,,,FALSE,,
A17_TRIAZOLAM,,,,,,,,,,,,,,,,FALSE,,
