ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-156842,Eukaryotic Translation Elongation,12/18,87/11287,0.13793103448275862,86.4904214559387,31.991283108564158,3.5762462927340223e-22,3.397433978097321e-20,1.5057879127301146e-20,RPL4/EEF1G/RPL18A/EEF1B2/EEF1A1/RPL3/EEF1D/RPL7/EEF1A2/RPS3/RPS3A/RPS2,12
R-HSA-72766,Translation,13/18,360/11287,0.03611111111111111,22.643672839506173,16.67997231762034,2.1190017547297679e-16,1.0065258334966397e-14,4.461056325746879e-15,RPL4/EEF1G/RPL18A/EEF1B2/EEF1A1/RPL3/EEF1D/RPL7/EEF1A2/ETF1/RPS3/RPS3A/RPS2,13
R-HSA-2408522,Selenoamino acid metabolism,9/18,112/11287,0.08035714285714286,50.38839285714286,20.99296228612614,3.0368990325483776e-14,9.616846936403197e-13,4.262314431646846e-13,RPL4/RPL18A/RPL3/RPL7/PAPSS1/RPS3/PAPSS2/RPS3A/RPS2,9
R-HSA-156902,Peptide chain elongation,8/18,83/11287,0.0963855421686747,60.43908969210174,21.721420934894226,2.4960499286214013e-13,5.928118580475828e-12,2.6274209774962117e-12,RPL4/RPL18A/EEF1A1/RPL3/RPL7/RPS3/RPS3A/RPS2,8
R-HSA-72764,Eukaryotic Translation Termination,8/18,87/11287,0.09195402298850575,57.6602809706258,21.202785746895664,3.6860924002485305e-13,7.003575560472208e-12,3.1040778107356046e-12,RPL4/RPL18A/RPL3/RPL7/ETF1/RPS3/RPS3A/RPS2,8
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),8/18,89/11287,0.0898876404494382,56.3645443196005,20.956564462503927,4.448107434572524e-13,7.0428367714064965e-12,3.1214789014544027e-12,RPL4/RPL18A/RPL3/RPL7/ETF1/RPS3/RPS3A/RPS2,8
R-HSA-927802,Nonsense-Mediated Decay (NMD),8/18,109/11287,0.07339449541284404,46.02242609582059,18.876595790482543,2.3550661970609176e-12,2.7966411090098397e-11,1.239508524768904e-11,RPL4/RPL18A/RPL3/RPL7/ETF1/RPS3/RPS3A/RPS2,8
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),8/18,109/11287,0.07339449541284404,46.02242609582059,18.876595790482543,2.3550661970609176e-12,2.7966411090098397e-11,1.239508524768904e-11,RPL4/RPL18A/RPL3/RPL7/ETF1/RPS3/RPS3A/RPS2,8
R-HSA-192823,Viral mRNA Translation,7/18,83/11287,0.08433734939759036,52.88420348058902,18.960563318037046,2.6788465603954377e-11,2.544904232375666e-10,1.1279353938507106e-10,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,7/18,83/11287,0.08433734939759036,52.88420348058902,18.960563318037046,2.6788465603954377e-11,2.544904232375666e-10,1.1279353938507106e-10,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
