ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,9/18,215/18842,0.04186046511627907,43.81860465116279,19.525967115839215,1.2333615205709214e-13,3.367076951158616e-11,2.129171467090854e-11,RPL3/RPL7/EEF1D/RPS2/RPS3/ETF1/RPL4/RPS3A/RPL18A,9
GO:0006414,translational elongation,5/18,77/18842,0.06493506493506493,67.97258297258298,18.209599640502606,8.210851786600102e-9,1.120781268870914e-6,7.087261542117983e-7,EEF1D/EEF1G/EEF1A1/EEF1B2/EEF1A2,5
GO:1901740,negative regulation of myoblast fusion,3/18,47/18842,0.06382978723404255,66.81560283687942,13.969758479962737,1.1561955333924905e-5,8.955338641564293e-4,5.662909339566392e-4,RPL7/RPL4/RPL18A,3
GO:0034242,negative regulation of syncytium formation by plasma membrane fusion,3/18,49/18842,0.061224489795918366,64.08843537414965,13.673572893695502,1.3121375298995301e-5,8.955338641564293e-4,5.662909339566392e-4,RPL7/RPL4/RPL18A,3
GO:1901739,regulation of myoblast fusion,3/18,58/18842,0.05172413793103448,54.143678160919535,12.534408275420628,2.1857474104824523e-5,0.001193418086123419,7.54658053303415e-4,RPL7/RPL4/RPL18A,3
GO:0060142,regulation of syncytium formation by plasma membrane fusion,3/18,65/18842,0.046153846153846156,48.31282051282051,11.815570187345342,3.0812488053267866e-5,0.001401968206423688,8.865347439887596e-4,RPL7/RPL4/RPL18A,3
GO:0007520,myoblast fusion,3/18,78/18842,0.038461538461538464,40.26068376068376,10.744215695452965,5.324989837078273e-5,0.0019832777197041924,0.0012541258763504434,RPL7/RPL4/RPL18A,3
GO:0000768,syncytium formation by plasma membrane fusion,3/18,88/18842,0.03409090909090909,35.68560606060606,10.08500081878144,7.635290198632153e-5,0.0019832777197041924,0.0012541258763504434,RPL7/RPL4/RPL18A,3
GO:0140253,cell-cell fusion,3/18,89/18842,0.033707865168539325,35.28464419475655,10.025165329355497,7.896918063546107e-5,0.0019832777197041924,0.0012541258763504434,RPL7/RPL4/RPL18A,3
GO:0006949,syncytium formation,3/18,90/18842,0.03333333333333333,34.89259259259259,9.966312921546752,8.164346282550099e-5,0.0019832777197041924,0.0012541258763504434,RPL7/RPL4/RPL18A,3
GO:0061684,chaperone-mediated autophagy,2/18,15/18842,0.13333333333333333,139.57037037037037,16.60189704218389,8.984273451693545e-5,0.0019832777197041924,0.0012541258763504434,EEF1A1/EEF1A2,2
GO:0033865,nucleoside bisphosphate metabolic process,2/18,17/18842,0.11764705882352941,123.15032679738562,15.580589008559148,1.1623605683248014e-4,0.0019832777197041924,0.0012541258763504434,PAPSS1/PAPSS2,2
GO:0033875,ribonucleoside bisphosphate metabolic process,2/18,17/18842,0.11764705882352941,123.15032679738562,15.580589008559148,1.1623605683248014e-4,0.0019832777197041924,0.0012541258763504434,PAPSS1/PAPSS2,2
GO:0034032,purine nucleoside bisphosphate metabolic process,2/18,17/18842,0.11764705882352941,123.15032679738562,15.580589008559148,1.1623605683248014e-4,0.0019832777197041924,0.0012541258763504434,PAPSS1/PAPSS2,2
GO:0034035,purine ribonucleoside bisphosphate metabolic process,2/18,17/18842,0.11764705882352941,123.15032679738562,15.580589008559148,1.1623605683248014e-4,0.0019832777197041924,0.0012541258763504434,PAPSS1/PAPSS2,2
GO:0050427,3'-phosphoadenosine 5'-phosphosulfate metabolic process,2/18,17/18842,0.11764705882352941,123.15032679738562,15.580589008559148,1.1623605683248014e-4,0.0019832777197041924,0.0012541258763504434,PAPSS1/PAPSS2,2
GO:0014902,myotube differentiation,3/18,131/18842,0.022900763358778626,23.972010178117046,8.158652181153887,2.4829722649401546e-4,0.003987361343109778,0.002521408368112603,RPL7/RPL4/RPL18A,3
GO:0045738,negative regulation of DNA repair,2/18,40/18842,0.05,52.33888888888889,10.050940612097406,6.580277416613431e-4,0.009980087415197037,0.006310909335231593,HSF1/RPS3,2
GO:0006941,striated muscle contraction,3/18,234/18842,0.01282051282051282,13.42022792022792,5.911802485976083,0.0013443074257743124,0.019315575117704594,0.012214205973794306,RPL7/RPL4/RPL18A,3
GO:0034605,cellular response to heat,2/18,61/18842,0.03278688524590164,34.32058287795992,8.060285431358698,0.0015256096968248964,0.020824572361659837,0.013168420541014893,HSF1/EEF1D,2
GO:0071479,cellular response to ionizing radiation,2/18,63/18842,0.031746031746031744,33.23104056437389,7.923930190097858,0.001626311032455386,0.021142043421920016,0.013369173399633246,HSF1/EEF1D,2
GO:0051146,striated muscle cell differentiation,3/18,271/18842,0.01107011070110701,11.587945879458795,5.4288892666700095,0.0020460784779625786,0.025389973840171998,0.016055352650041287,RPL7/RPL4/RPL18A,3
GO:0009408,response to heat,2/18,89/18842,0.02247191011235955,23.5230961298377,6.585973625624591,0.003213395049999136,0.03814160211520713,0.024118846141869942,HSF1/EEF1D,2
GO:0042254,ribosome biogenesis,3/18,329/18842,0.00911854103343465,9.545086119554204,4.835131195827184,0.0035432599546734622,0.040304581984410635,0.025486606691510868,RPL7/RAN/RPS3A,3
