protein,chembl_target_id,pref_name,organism
RPL18A,CHEMBL6067541,Large ribosomal subunit protein eL20,Homo sapiens
RPS3,CHEMBL6066939,Small ribosomal subunit protein uS3,Homo sapiens
RPL4,CHEMBL6066910,Large ribosomal subunit protein uL4,Homo sapiens
EEF1G,CHEMBL4295735,Elongation factor 1-gamma,Homo sapiens
EEF1A1,CHEMBL1795120,Elongation factor 1-alpha 1,Homo sapiens
RPL7,CHEMBL6066948,Large ribosomal subunit protein uL30,Homo sapiens
RPS2,CHEMBL6066954,Small ribosomal subunit protein uS5,Homo sapiens
RPL3,CHEMBL6066907,Large ribosomal subunit protein uL3,Homo sapiens
RPS3A,CHEMBL6067564,Small ribosomal subunit protein eS1,Homo sapiens
EEF1B2,CHEMBL4295731,Elongation factor 1-beta,Homo sapiens
