protein,target_id,molecule_chembl_id,standard_type,standard_value
RPL18A,CHEMBL6067541,CHEMBL5653589,Kd,3154.06
RPL18A,CHEMBL6067541,CHEMBL5653589,ED50,3154.06
RPL18A,CHEMBL6067541,CHEMBL3752910,Kd,98.14
RPL18A,CHEMBL6067541,CHEMBL3752910,ED50,98.14
RPS3,CHEMBL6066939,CHEMBL5653589,Kd,40.59
RPS3,CHEMBL6066939,CHEMBL5653589,ED50,40.59
RPS3,CHEMBL6066939,CHEMBL3752910,Kd,3.858
RPS3,CHEMBL6066939,CHEMBL3752910,ED50,3.858
RPS3,CHEMBL6066939,CHEMBL1232461,FC,0.414
RPS3,CHEMBL6066939,CHEMBL1232461,FC,0.246
RPS3,CHEMBL6066939,CHEMBL1232461,FC,0.507
RPS3,CHEMBL6066939,CHEMBL1232461,FC,0.618
RPS3,CHEMBL6066939,CHEMBL1232461,FC,0.858
RPS3,CHEMBL6066939,CHEMBL1232461,IC50,240.0
RPL4,CHEMBL6066910,CHEMBL5653589,Kd,24906.3
RPL4,CHEMBL6066910,CHEMBL5653589,ED50,24906.3
RPL4,CHEMBL6066910,CHEMBL3752910,Kd,4728.58
RPL4,CHEMBL6066910,CHEMBL3752910,ED50,4728.58
EEF1G,CHEMBL4295735,CHEMBL4129274,Activity,NA
EEF1G,CHEMBL4295735,CHEMBL4294164,Ratio,0.536
EEF1G,CHEMBL4295735,CHEMBL5653589,Kd,0.491
EEF1G,CHEMBL4295735,CHEMBL5653589,ED50,0.491
EEF1G,CHEMBL4295735,CHEMBL3752910,Kd,11.42
EEF1G,CHEMBL4295735,CHEMBL3752910,ED50,11.42
EEF1G,CHEMBL4295735,CHEMBL1232461,FC,0.618
EEF1G,CHEMBL4295735,CHEMBL1232461,FC,0.601
EEF1G,CHEMBL4295735,CHEMBL1232461,FC,0.728
EEF1G,CHEMBL4295735,CHEMBL1232461,FC,0.675
EEF1G,CHEMBL4295735,CHEMBL1232461,FC,0.793
EEF1G,CHEMBL4295735,CHEMBL1232461,IC50,4300.0
EEF1A1,CHEMBL1795120,CHEMBL1221911,Inhibition,NA
EEF1A1,CHEMBL1795120,CHEMBL123292,Inhibition,NA
EEF1A1,CHEMBL1795120,CHEMBL1221911,Activity,NA
EEF1A1,CHEMBL1795120,CHEMBL2303630,Activity,NA
EEF1A1,CHEMBL1795120,CHEMBL1802814,Activity,NA
EEF1A1,CHEMBL1795120,CHEMBL1802815,Activity,NA
EEF1A1,CHEMBL1795120,CHEMBL1802814,Kd,3.74
EEF1A1,CHEMBL1795120,CHEMBL1802815,Kd,8.15
EEF1A1,CHEMBL1795120,CHEMBL1802973,Kd,57.2
EEF1A1,CHEMBL1795120,CHEMBL3799977,FC,12.0
EEF1A1,CHEMBL1795120,CHEMBL4066032,Activity,NA
EEF1A1,CHEMBL1795120,CHEMBL4066032,Activity,NA
EEF1A1,CHEMBL1795120,CHEMBL4095101,Activity,NA
EEF1A1,CHEMBL1795120,CHEMBL4097524,Ka,2.536
EEF1A1,CHEMBL1795120,CHEMBL4070348,Ka,1.029
EEF1A1,CHEMBL1795120,CHEMBL4094319,Ka,2.899
EEF1A1,CHEMBL1795120,CHEMBL4072881,Ka,6.796
EEF1A1,CHEMBL1795120,CHEMBL4067648,Ka,5.297
EEF1A1,CHEMBL1795120,CHEMBL4088864,Ka,1.809
EEF1A1,CHEMBL1795120,CHEMBL4105227,Ka,NA
EEF1A1,CHEMBL1795120,CHEMBL514569,Ka,1.268
EEF1A1,CHEMBL1795120,CHEMBL4294164,Ratio,0.629
EEF1A1,CHEMBL1795120,CHEMBL1232461,FC,0.825
EEF1A1,CHEMBL1795120,CHEMBL1232461,FC,1.0
EEF1A1,CHEMBL1795120,CHEMBL1232461,FC,0.995
EEF1A1,CHEMBL1795120,CHEMBL1232461,FC,0.951
EEF1A1,CHEMBL1795120,CHEMBL1232461,FC,0.872
EEF1A1,CHEMBL1795120,CHEMBL1232461,IC50,10000.0
RPL7,CHEMBL6066948,CHEMBL5653589,Kd,12290.41
RPL7,CHEMBL6066948,CHEMBL5653589,ED50,12290.41
RPL7,CHEMBL6066948,CHEMBL3752910,Kd,16.7
RPL7,CHEMBL6066948,CHEMBL3752910,ED50,16.7
RPS2,CHEMBL6066954,CHEMBL5653589,Kd,1825.35
RPS2,CHEMBL6066954,CHEMBL5653589,ED50,1825.35
RPS2,CHEMBL6066954,CHEMBL3752910,Kd,80.43
RPS2,CHEMBL6066954,CHEMBL3752910,ED50,80.43
RPL3,CHEMBL6066907,CHEMBL5653589,Kd,10412.18
RPL3,CHEMBL6066907,CHEMBL5653589,ED50,10412.18
RPL3,CHEMBL6066907,CHEMBL3752910,Kd,2638.87
RPL3,CHEMBL6066907,CHEMBL3752910,ED50,2638.87
RPS3A,CHEMBL6067564,CHEMBL3752910,Kd,2452.47
RPS3A,CHEMBL6067564,CHEMBL3752910,ED50,2452.47
RPS3A,CHEMBL6067564,CHEMBL1232461,FC,0.561
RPS3A,CHEMBL6067564,CHEMBL1232461,FC,0.364
RPS3A,CHEMBL6067564,CHEMBL1232461,FC,0.812
RPS3A,CHEMBL6067564,CHEMBL1232461,FC,0.619
RPS3A,CHEMBL6067564,CHEMBL1232461,FC,0.966
RPS3A,CHEMBL6067564,CHEMBL1232461,IC50,3440.0
EEF1B2,CHEMBL4295731,CHEMBL4294164,Ratio,0.525
EEF1B2,CHEMBL4295731,CHEMBL5653589,Kd,661.51
EEF1B2,CHEMBL4295731,CHEMBL5653589,ED50,661.51
