queried_protein,queried_target_chembl_id,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,action_type.action_type,action_type.description,action_type.parent_type,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei
RPL18A,CHEMBL6067541,NA,26221698,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,5.50,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,NA,Kd,nM,NA,3154.06,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,NA,NA,Kd(app),nM,UO_0000065,NA,3154.061,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,10.93,0.20,-0.25,5.64
RPL18A,CHEMBL6067541,NA,26221699,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,5.50,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,NA,ED50,nM,NA,3154.06,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,NA,NA,ED50,nM,UO_0000065,NA,3154.061,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
RPL18A,CHEMBL6067541,NA,26221700,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,7.01,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,NA,Kd,nM,NA,98.14,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,NA,NA,Kd(app),nM,UO_0000065,NA,98.14,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,13.92,0.26,1.26,7.18
RPL18A,CHEMBL6067541,NA,26221701,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,7.01,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,NA,ED50,nM,NA,98.14,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,NA,NA,ED50,nM,UO_0000065,NA,98.14,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
RPS3,CHEMBL6066939,NA,26221906,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,7.39,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,NA,Kd,nM,NA,40.59,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,Kd(app),nM,UO_0000065,NA,40.588,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,14.68,0.27,1.64,7.57
RPS3,CHEMBL6066939,NA,26221907,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,7.39,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,NA,ED50,nM,NA,40.59,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,ED50,nM,UO_0000065,NA,40.588,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
RPS3,CHEMBL6066939,NA,26221908,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,8.41,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,NA,Kd,nM,NA,3.858,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,Kd(app),nM,UO_0000065,NA,3.858,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,16.71,0.31,2.66,8.62
RPS3,CHEMBL6066939,NA,26221909,,CHEMBL5652347,Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,8.41,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,NA,ED50,nM,NA,3.858,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,ED50,nM,UO_0000065,NA,3.858,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
RPS3,CHEMBL6066939,NA,26298253,,CHEMBL5697120,Inhibition of RPS3 (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.414,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,FC,NA,NA,NA,0.414,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
RPS3,CHEMBL6066939,NA,26298953,,CHEMBL5697820,Inhibition of RPS3 (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.246,CHEMBL6066939,Homo sapiens,Small ribosomal subunit protein uS3,9606,NA,NA,FC,NA,NA,NA,0.246,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
