molecule_chembl_id,compound_name,protein,source_node_id,target_node_id,source,target,relationship,strongest_evidence_class,strongest_evidence_tier,activity_types,evidence_classes,minimum_activity_nM,median_activity_nM,maximum_pchembl_value,total_measurements,total_assays,validity_warning_count,potential_duplicate_count,molecule_type,max_phase,development_status
CHEMBL5653589,CHEMBL5653589,EEF1G,compound::CHEMBL5653589,protein::EEF1G,CHEMBL5653589,EEF1G,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,0.491,0.491,9.31,2,2,0,0,,,Unknown
CHEMBL1802814,CHEMBL1802814,EEF1A1,compound::CHEMBL1802814,protein::EEF1A1,CHEMBL1802814,EEF1A1,BINDS_TO,Binding affinity,Tier 2: quantitative binding,Kd,Binding affinity,3.74,3.74,8.43,1,1,0,0,Small molecule,,Unknown
CHEMBL3752910,CHEMBL3752910,RPS3,compound::CHEMBL3752910,protein::RPS3,CHEMBL3752910,RPS3,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,3.858,3.858,8.41,2,2,0,0,Small molecule,,Unknown
CHEMBL1802815,CHEMBL1802815,EEF1A1,compound::CHEMBL1802815,protein::EEF1A1,CHEMBL1802815,EEF1A1,BINDS_TO,Binding affinity,Tier 2: quantitative binding,Kd,Binding affinity,8.15,8.15,8.09,1,1,0,0,Small molecule,,Unknown
CHEMBL3752910,CHEMBL3752910,EEF1G,compound::CHEMBL3752910,protein::EEF1G,CHEMBL3752910,EEF1G,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,11.42,11.42,7.94,2,2,0,0,Small molecule,,Unknown
CHEMBL3752910,CHEMBL3752910,RPL7,compound::CHEMBL3752910,protein::RPL7,CHEMBL3752910,RPL7,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,16.7,16.7,7.78,2,2,0,0,Small molecule,,Unknown
CHEMBL5653589,CHEMBL5653589,RPS3,compound::CHEMBL5653589,protein::RPS3,CHEMBL5653589,RPS3,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,40.59,40.59,7.39,2,2,0,0,,,Unknown
CHEMBL1802973,CHEMBL1802973,EEF1A1,compound::CHEMBL1802973,protein::EEF1A1,CHEMBL1802973,EEF1A1,BINDS_TO,Binding affinity,Tier 2: quantitative binding,Kd,Binding affinity,57.2,57.2,7.24,1,1,0,0,Small molecule,,Unknown
CHEMBL3752910,CHEMBL3752910,RPS2,compound::CHEMBL3752910,protein::RPS2,CHEMBL3752910,RPS2,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,80.43,80.43,7.09,2,2,0,0,Small molecule,,Unknown
CHEMBL3752910,CHEMBL3752910,RPL18A,compound::CHEMBL3752910,protein::RPL18A,CHEMBL3752910,RPL18A,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,98.14,98.14,7.01,2,2,0,0,Small molecule,,Unknown
CHEMBL5653589,CHEMBL5653589,EEF1B2,compound::CHEMBL5653589,protein::EEF1B2,CHEMBL5653589,EEF1B2,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,661.51,661.51,6.18,2,2,0,0,,,Unknown
CHEMBL5653589,CHEMBL5653589,RPS2,compound::CHEMBL5653589,protein::RPS2,CHEMBL5653589,RPS2,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,1825.35,1825.35,5.74,2,2,0,0,,,Unknown
CHEMBL3752910,CHEMBL3752910,RPS3A,compound::CHEMBL3752910,protein::RPS3A,CHEMBL3752910,RPS3A,BINDS_TO,Binding affinity,Tier 2: quantitative binding,ED50; Kd,Binding affinity; Functional dose response,2452.47,2452.47,5.61,2,2,0,0,Small molecule,,Unknown
