"molecule_chembl_id","display_name","queried_protein","source_node_id","target_node_id","source","target","relationship","primary_evidence_class","corrected_activity_types","original_activity_types","minimum_activity_nM","median_activity_nM","maximum_pchembl_value","unique_assay_count","assay_ids","unique_document_count","document_ids","confidence_score","assay_types","assay_descriptions","dois","pubmed_ids","raw_record_count","duplicate_kd_ed50_collapsed","molecule_type","max_phase","development_status"
"CHEMBL5653589","CHEMBL5653589","EEF1G","compound::CHEMBL5653589","protein::EEF1G","CHEMBL5653589","EEF1G","BINDS_TO","Binding affinity","Kd","ED50; Kd",0.491,0.491,9.31,1,"CHEMBL5651330",1,"CHEMBL5649169",9,"B","Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,,,"Unknown"
"CHEMBL1802814","CHEMBL1802814","EEF1A1","compound::CHEMBL1802814","protein::EEF1A1","CHEMBL1802814","EEF1A1","BINDS_TO","Binding affinity","Kd","Kd",3.74,3.74,8.43,1,"CHEMBL1805291",1,"CHEMBL1799911",9,"B","Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method","10.1021/jm101440r","21599001",1,FALSE,"Small molecule",,"Unknown"
"CHEMBL3752910","CHEMBL3752910","RPS3","compound::CHEMBL3752910","protein::RPS3","CHEMBL3752910","RPS3","BINDS_TO","Binding affinity","Kd","ED50; Kd",3.858,3.858,8.41,1,"CHEMBL5652347",1,"CHEMBL5649169",9,"B","Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL1802815","CHEMBL1802815","EEF1A1","compound::CHEMBL1802815","protein::EEF1A1","CHEMBL1802815","EEF1A1","BINDS_TO","Binding affinity","Kd","Kd",8.15,8.15,8.09,1,"CHEMBL1805291",1,"CHEMBL1799911",9,"B","Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method","10.1021/jm101440r","21599001",1,FALSE,"Small molecule",,"Unknown"
"CHEMBL3752910","CHEMBL3752910","EEF1G","compound::CHEMBL3752910","protein::EEF1G","CHEMBL3752910","EEF1G","BINDS_TO","Binding affinity","Kd","ED50; Kd",11.42,11.42,7.94,1,"CHEMBL5651330",1,"CHEMBL5649169",9,"B","Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL3752910","CHEMBL3752910","RPL7","compound::CHEMBL3752910","protein::RPL7","CHEMBL3752910","RPL7","BINDS_TO","Binding affinity","Kd","ED50; Kd",16.7,16.7,7.78,1,"CHEMBL5652315",1,"CHEMBL5649169",9,"B","Binding affinity to human RPL7 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL5653589","CHEMBL5653589","RPS3","compound::CHEMBL5653589","protein::RPS3","CHEMBL5653589","RPS3","BINDS_TO","Binding affinity","Kd","ED50; Kd",40.59,40.59,7.39,1,"CHEMBL5652347",1,"CHEMBL5649169",9,"B","Binding affinity to human RPS3 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,,,"Unknown"
"CHEMBL1802973","CHEMBL1802973","EEF1A1","compound::CHEMBL1802973","protein::EEF1A1","CHEMBL1802973","EEF1A1","BINDS_TO","Binding affinity","Kd","Kd",57.2,57.2,7.24,1,"CHEMBL1805291",1,"CHEMBL1799911",9,"B","Binding affinity to eEF1A1 expressed in human MDA-MB-231 cells using 1 uM biotinylated compound immobilized on streptavidin sensor chip by surface plasmon resonance method","10.1021/jm101440r","21599001",1,FALSE,"Small molecule",,"Unknown"
"CHEMBL3752910","CHEMBL3752910","RPS2","compound::CHEMBL3752910","protein::RPS2","CHEMBL3752910","RPS2","BINDS_TO","Binding affinity","Kd","ED50; Kd",80.43,80.43,7.09,1,"CHEMBL5652335",1,"CHEMBL5649169",9,"B","Binding affinity to human RPS2 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL3752910","CHEMBL3752910","RPL18A","compound::CHEMBL3752910","protein::RPL18A","CHEMBL3752910","RPL18A","BINDS_TO","Binding affinity","Kd","ED50; Kd",98.14,98.14,7.01,1,"CHEMBL5652291",1,"CHEMBL5649169",9,"B","Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL5653589","CHEMBL5653589","EEF1B2","compound::CHEMBL5653589","protein::EEF1B2","CHEMBL5653589","EEF1B2","BINDS_TO","Binding affinity","Kd","ED50; Kd",661.51,661.51,6.18,1,"CHEMBL5650977",1,"CHEMBL5649169",9,"B","Binding affinity to human EEF1B2 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,,,"Unknown"
"CHEMBL5653589","CHEMBL5653589","RPS2","compound::CHEMBL5653589","protein::RPS2","CHEMBL5653589","RPS2","BINDS_TO","Binding affinity","Kd","ED50; Kd",1825.35,1825.35,5.74,1,"CHEMBL5652335",1,"CHEMBL5649169",9,"B","Binding affinity to human RPS2 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,,,"Unknown"
"CHEMBL3752910","CHEMBL3752910","RPS3A","compound::CHEMBL3752910","protein::RPS3A","CHEMBL3752910","RPS3A","BINDS_TO","Binding affinity","Kd","ED50; Kd",2452.47,2452.47,5.61,1,"CHEMBL5652348",1,"CHEMBL5649169",9,"B","Binding affinity to human RPS3A incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL3752910","CHEMBL3752910","RPL3","compound::CHEMBL3752910","protein::RPL3","CHEMBL3752910","RPL3","BINDS_TO","Binding affinity","Kd","ED50; Kd",2638.87,2638.87,5.58,1,"CHEMBL5652302",1,"CHEMBL5649169",9,"B","Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL5653589","CHEMBL5653589","RPL18A","compound::CHEMBL5653589","protein::RPL18A","CHEMBL5653589","RPL18A","BINDS_TO","Binding affinity","Kd","ED50; Kd",3154.06,3154.06,5.5,1,"CHEMBL5652291",1,"CHEMBL5649169",9,"B","Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,,,"Unknown"
"CHEMBL3752910","CHEMBL3752910","RPL4","compound::CHEMBL3752910","protein::RPL4","CHEMBL3752910","RPL4","BINDS_TO","Binding affinity","Kd","ED50; Kd",4728.58,4728.58,5.33,1,"CHEMBL5652312",1,"CHEMBL5649169",9,"B","Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,"Small molecule",,"Unknown"
"CHEMBL5653589","CHEMBL5653589","RPL3","compound::CHEMBL5653589","protein::RPL3","CHEMBL5653589","RPL3","BINDS_TO","Binding affinity","Kd","ED50; Kd",10412.18,10412.18,4.98,1,"CHEMBL5652302",1,"CHEMBL5649169",9,"B","Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay","10.1002/cmdc.201800398","29928781",2,TRUE,,,"Unknown"
