source,target,score,relationship
RPL18A,EEF1D,0.928,INTERACTS_WITH
RPL18A,EEF1B2,0.961,INTERACTS_WITH
RPL18A,EEF1G,0.985,INTERACTS_WITH
RPL18A,EEF1A1,0.996,INTERACTS_WITH
RPL18A,RPS3A,0.999,INTERACTS_WITH
RPL18A,RPS3,0.999,INTERACTS_WITH
RPL18A,RPL3,0.999,INTERACTS_WITH
RPL18A,RPL4,0.999,INTERACTS_WITH
RPL18A,RPS2,0.999,INTERACTS_WITH
RPL18A,RPL7,0.999,INTERACTS_WITH
RPS3,EEF1D,0.931,INTERACTS_WITH
RPS3,EEF1B2,0.993,INTERACTS_WITH
RPS3,EEF1G,0.996,INTERACTS_WITH
RPS3,EEF1A1,0.997,INTERACTS_WITH
RPS3,RPS2,0.999,INTERACTS_WITH
RPS3,RPL4,0.999,INTERACTS_WITH
RPS3,RPL7,0.999,INTERACTS_WITH
RPS3,RPS3A,0.999,INTERACTS_WITH
RPS3,RPL3,0.999,INTERACTS_WITH
RPL4,EEF1D,0.811,INTERACTS_WITH
RPL4,EEF1B2,0.983,INTERACTS_WITH
RPL4,EEF1G,0.983,INTERACTS_WITH
RPL4,EEF1A1,0.997,INTERACTS_WITH
RPL4,RPL3,0.999,INTERACTS_WITH
RPL4,RPS3A,0.999,INTERACTS_WITH
RPL4,RPL7,0.999,INTERACTS_WITH
RPL4,RPS2,0.999,INTERACTS_WITH
EEF1G,RPL7,0.95,INTERACTS_WITH
EEF1G,RPL3,0.968,INTERACTS_WITH
EEF1G,RPS2,0.986,INTERACTS_WITH
EEF1G,RPS3A,0.994,INTERACTS_WITH
EEF1G,EEF1D,0.999,INTERACTS_WITH
EEF1G,EEF1B2,0.999,INTERACTS_WITH
EEF1G,EEF1A1,0.999,INTERACTS_WITH
EEF1A1,RPL3,0.995,INTERACTS_WITH
EEF1A1,RPL7,0.995,INTERACTS_WITH
EEF1A1,RPS3A,0.997,INTERACTS_WITH
EEF1A1,EEF1D,0.997,INTERACTS_WITH
EEF1A1,RPS2,0.998,INTERACTS_WITH
EEF1A1,EEF1B2,0.999,INTERACTS_WITH
RPL7,EEF1D,0.718,INTERACTS_WITH
RPL7,EEF1B2,0.932,INTERACTS_WITH
RPL7,RPS3A,0.999,INTERACTS_WITH
RPL7,RPL3,0.999,INTERACTS_WITH
RPL7,RPS2,0.999,INTERACTS_WITH
RPS2,EEF1D,0.831,INTERACTS_WITH
RPS2,EEF1B2,0.984,INTERACTS_WITH
RPS2,RPL3,0.999,INTERACTS_WITH
RPS2,RPS3A,0.999,INTERACTS_WITH
RPL3,EEF1D,0.843,INTERACTS_WITH
RPL3,EEF1B2,0.906,INTERACTS_WITH
RPL3,RPS3A,0.999,INTERACTS_WITH
RPS3A,EEF1D,0.928,INTERACTS_WITH
RPS3A,EEF1B2,0.988,INTERACTS_WITH
EEF1B2,EEF1D,0.999,INTERACTS_WITH
ST6GALNAC1,EEF1A2,0.944,INTERACTS_WITH
EEF1A2,HSF1,0.912,INTERACTS_WITH
EEF1A2,PAPSS2,0.915,INTERACTS_WITH
EEF1A2,PAPSS1,0.919,INTERACTS_WITH
EEF1A2,ETF1,0.931,INTERACTS_WITH
EEF1A2,RAN,0.942,INTERACTS_WITH
EEF1A2,EEF1D,0.96,INTERACTS_WITH
EEF1A2,EEF1G,0.979,INTERACTS_WITH
EEF1A2,EEF1A1,0.994,INTERACTS_WITH
EEF1A2,EEF1B2,0.996,INTERACTS_WITH
PAPSS1,EEF1A1,0.921,INTERACTS_WITH
PAPSS1,PAPSS2,0.951,INTERACTS_WITH
EEF1G,RAN,0.58,INTERACTS_WITH
EEF1G,ETF1,0.663,INTERACTS_WITH
EEF1G,EEF1D,0.999,INTERACTS_WITH
EEF1G,EEF1B2,0.999,INTERACTS_WITH
EEF1G,EEF1A1,0.999,INTERACTS_WITH
EEF1A1,PAPSS2,0.914,INTERACTS_WITH
EEF1A1,HSF1,0.955,INTERACTS_WITH
EEF1A1,ETF1,0.959,INTERACTS_WITH
EEF1A1,RAN,0.973,INTERACTS_WITH
EEF1A1,EEF1D,0.997,INTERACTS_WITH
EEF1A1,EEF1B2,0.999,INTERACTS_WITH
ETF1,RAN,0.451,INTERACTS_WITH
ETF1,EEF1B2,0.702,INTERACTS_WITH
EEF1B2,RAN,0.759,INTERACTS_WITH
EEF1B2,EEF1D,0.999,INTERACTS_WITH
EEF1D,HSF1,0.402,INTERACTS_WITH
EEF1D,RAN,0.413,INTERACTS_WITH
