protein,pathway,relationship
RPL4,Eukaryotic Translation Elongation,PARTICIPATES_IN
EEF1G,Eukaryotic Translation Elongation,PARTICIPATES_IN
RPL18A,Eukaryotic Translation Elongation,PARTICIPATES_IN
EEF1B2,Eukaryotic Translation Elongation,PARTICIPATES_IN
EEF1A1,Eukaryotic Translation Elongation,PARTICIPATES_IN
RPL3,Eukaryotic Translation Elongation,PARTICIPATES_IN
EEF1D,Eukaryotic Translation Elongation,PARTICIPATES_IN
RPL7,Eukaryotic Translation Elongation,PARTICIPATES_IN
EEF1A2,Eukaryotic Translation Elongation,PARTICIPATES_IN
RPS3,Eukaryotic Translation Elongation,PARTICIPATES_IN
RPS3A,Eukaryotic Translation Elongation,PARTICIPATES_IN
RPS2,Eukaryotic Translation Elongation,PARTICIPATES_IN
RPL4,Translation,PARTICIPATES_IN
EEF1G,Translation,PARTICIPATES_IN
RPL18A,Translation,PARTICIPATES_IN
EEF1B2,Translation,PARTICIPATES_IN
EEF1A1,Translation,PARTICIPATES_IN
RPL3,Translation,PARTICIPATES_IN
EEF1D,Translation,PARTICIPATES_IN
RPL7,Translation,PARTICIPATES_IN
EEF1A2,Translation,PARTICIPATES_IN
ETF1,Translation,PARTICIPATES_IN
RPS3,Translation,PARTICIPATES_IN
RPS3A,Translation,PARTICIPATES_IN
RPS2,Translation,PARTICIPATES_IN
RPL4,Selenoamino acid metabolism,PARTICIPATES_IN
RPL18A,Selenoamino acid metabolism,PARTICIPATES_IN
RPL3,Selenoamino acid metabolism,PARTICIPATES_IN
RPL7,Selenoamino acid metabolism,PARTICIPATES_IN
PAPSS1,Selenoamino acid metabolism,PARTICIPATES_IN
RPS3,Selenoamino acid metabolism,PARTICIPATES_IN
PAPSS2,Selenoamino acid metabolism,PARTICIPATES_IN
RPS3A,Selenoamino acid metabolism,PARTICIPATES_IN
RPS2,Selenoamino acid metabolism,PARTICIPATES_IN
RPL4,Peptide chain elongation,PARTICIPATES_IN
RPL18A,Peptide chain elongation,PARTICIPATES_IN
EEF1A1,Peptide chain elongation,PARTICIPATES_IN
RPL3,Peptide chain elongation,PARTICIPATES_IN
RPL7,Peptide chain elongation,PARTICIPATES_IN
RPS3,Peptide chain elongation,PARTICIPATES_IN
RPS3A,Peptide chain elongation,PARTICIPATES_IN
RPS2,Peptide chain elongation,PARTICIPATES_IN
RPL4,Eukaryotic Translation Termination,PARTICIPATES_IN
RPL18A,Eukaryotic Translation Termination,PARTICIPATES_IN
RPL3,Eukaryotic Translation Termination,PARTICIPATES_IN
RPL7,Eukaryotic Translation Termination,PARTICIPATES_IN
ETF1,Eukaryotic Translation Termination,PARTICIPATES_IN
RPS3,Eukaryotic Translation Termination,PARTICIPATES_IN
RPS3A,Eukaryotic Translation Termination,PARTICIPATES_IN
RPS2,Eukaryotic Translation Termination,PARTICIPATES_IN
RPL4,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),PARTICIPATES_IN
RPL18A,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),PARTICIPATES_IN
