query_protein,preferredName_A,preferredName_B,score
EEF1A1,RPL18A,EEF1D,0.928
EEF1A1,RPL18A,EEF1B2,0.961
EEF1A1,RPL18A,EEF1G,0.985
EEF1A1,RPL18A,EEF1A1,0.996
EEF1A1,RPL18A,RPS3A,0.999
EEF1A1,RPL18A,RPS3,0.999
EEF1A1,RPL18A,RPL3,0.999
EEF1A1,RPL18A,RPL4,0.999
EEF1A1,RPL18A,RPS2,0.999
EEF1A1,RPL18A,RPL7,0.999
EEF1A1,RPS3,EEF1D,0.931
EEF1A1,RPS3,EEF1B2,0.993
EEF1A1,RPS3,EEF1G,0.996
EEF1A1,RPS3,EEF1A1,0.997
EEF1A1,RPS3,RPS2,0.999
EEF1A1,RPS3,RPL4,0.999
EEF1A1,RPS3,RPL7,0.999
EEF1A1,RPS3,RPS3A,0.999
EEF1A1,RPS3,RPL3,0.999
EEF1A1,RPL4,EEF1D,0.811
EEF1A1,RPL4,EEF1B2,0.983
EEF1A1,RPL4,EEF1G,0.983
EEF1A1,RPL4,EEF1A1,0.997
EEF1A1,RPL4,RPL3,0.999
EEF1A1,RPL4,RPS3A,0.999
EEF1A1,RPL4,RPL7,0.999
EEF1A1,RPL4,RPS2,0.999
EEF1A1,EEF1G,RPL7,0.95
EEF1A1,EEF1G,RPL3,0.968
EEF1A1,EEF1G,RPS2,0.986
EEF1A1,EEF1G,RPS3A,0.994
EEF1A1,EEF1G,EEF1D,0.999
EEF1A1,EEF1G,EEF1B2,0.999
EEF1A1,EEF1G,EEF1A1,0.999
EEF1A1,EEF1A1,RPL3,0.995
EEF1A1,EEF1A1,RPL7,0.995
EEF1A1,EEF1A1,RPS3A,0.997
EEF1A1,EEF1A1,EEF1D,0.997
EEF1A1,EEF1A1,RPS2,0.998
EEF1A1,EEF1A1,EEF1B2,0.999
EEF1A1,RPL7,EEF1D,0.718
EEF1A1,RPL7,EEF1B2,0.932
EEF1A1,RPL7,RPS3A,0.999
EEF1A1,RPL7,RPL3,0.999
EEF1A1,RPL7,RPS2,0.999
EEF1A1,RPS2,EEF1D,0.831
EEF1A1,RPS2,EEF1B2,0.984
EEF1A1,RPS2,RPL3,0.999
EEF1A1,RPS2,RPS3A,0.999
EEF1A1,RPL3,EEF1D,0.843
EEF1A1,RPL3,EEF1B2,0.906
EEF1A1,RPL3,RPS3A,0.999
EEF1A1,RPS3A,EEF1D,0.928
EEF1A1,RPS3A,EEF1B2,0.988
EEF1A1,EEF1B2,EEF1D,0.999
EEF1A2,ST6GALNAC1,EEF1A2,0.944
EEF1A2,EEF1A2,HSF1,0.912
EEF1A2,EEF1A2,PAPSS2,0.915
EEF1A2,EEF1A2,PAPSS1,0.919
EEF1A2,EEF1A2,ETF1,0.931
EEF1A2,EEF1A2,RAN,0.942
EEF1A2,EEF1A2,EEF1D,0.96
EEF1A2,EEF1A2,EEF1G,0.979
EEF1A2,EEF1A2,EEF1A1,0.994
EEF1A2,EEF1A2,EEF1B2,0.996
EEF1A2,PAPSS1,EEF1A1,0.921
EEF1A2,PAPSS1,PAPSS2,0.951
EEF1A2,EEF1G,RAN,0.58
EEF1A2,EEF1G,ETF1,0.663
EEF1A2,EEF1G,EEF1D,0.999
EEF1A2,EEF1G,EEF1B2,0.999
EEF1A2,EEF1G,EEF1A1,0.999
EEF1A2,EEF1A1,PAPSS2,0.914
EEF1A2,EEF1A1,HSF1,0.955
EEF1A2,EEF1A1,ETF1,0.959
EEF1A2,EEF1A1,RAN,0.973
EEF1A2,EEF1A1,EEF1D,0.997
EEF1A2,EEF1A1,EEF1B2,0.999
EEF1A2,ETF1,RAN,0.451
EEF1A2,ETF1,EEF1B2,0.702
EEF1A2,EEF1B2,RAN,0.759
EEF1A2,EEF1B2,EEF1D,0.999
EEF1A2,EEF1D,HSF1,0.402
EEF1A2,EEF1D,RAN,0.413
