go_term,type,p_adjust
cytoplasmic translation,BiologicalProcess,3.367076951158616e-11
translational elongation,BiologicalProcess,1.120781268870914e-6
negative regulation of myoblast fusion,BiologicalProcess,8.955338641564293e-4
negative regulation of syncytium formation by plasma membrane fusion,BiologicalProcess,8.955338641564293e-4
regulation of myoblast fusion,BiologicalProcess,0.00119341808612341
regulation of syncytium formation by plasma membrane fusion,BiologicalProcess,0.00140196820642368
myoblast fusion,BiologicalProcess,0.00198327771970419
syncytium formation by plasma membrane fusion,BiologicalProcess,0.00198327771970419
cell-cell fusion,BiologicalProcess,0.00198327771970419
syncytium formation,BiologicalProcess,0.00198327771970419
chaperone-mediated autophagy,BiologicalProcess,0.00198327771970419
nucleoside bisphosphate metabolic process,BiologicalProcess,0.00198327771970419
ribonucleoside bisphosphate metabolic process,BiologicalProcess,0.00198327771970419
purine nucleoside bisphosphate metabolic process,BiologicalProcess,0.00198327771970419
purine ribonucleoside bisphosphate metabolic process,BiologicalProcess,0.00198327771970419
3'-phosphoadenosine 5'-phosphosulfate metabolic process,BiologicalProcess,0.00198327771970419
myotube differentiation,BiologicalProcess,0.00398736134310977
negative regulation of DNA repair,BiologicalProcess,0.00998008741519703
striated muscle contraction,BiologicalProcess,0.01931557511770459
cellular response to heat,BiologicalProcess,0.02082457236165983
cellular response to ionizing radiation,BiologicalProcess,0.02114204342192001
striated muscle cell differentiation,BiologicalProcess,0.02538997384017199
response to heat,BiologicalProcess,0.03814160211520713
ribosome biogenesis,BiologicalProcess,0.04030458198441063
purine ribonucleotide metabolic process,BiologicalProcess,0.04243741825805585
ribonucleotide metabolic process,BiologicalProcess,0.04522018069776511
host-mediated perturbation of symbiont process,BiologicalProcess,0.04522018069776511
muscle cell differentiation,BiologicalProcess,0.04522018069776511
ribose phosphate metabolic process,BiologicalProcess,0.04522018069776511
muscle contraction,BiologicalProcess,0.04522018069776511
response to ionizing radiation,BiologicalProcess,0.04522018069776511
modulation of process of another organism,BiologicalProcess,0.04522018069776511
sulfur compound biosynthetic process,BiologicalProcess,0.04686130743851231
